City,Region,Longitude,Latitude,tif_count_2000,tif_count_2021,Area,Brightness,Elevation,Human Modification,2000 Population,2021 Population,Population Change,Crop Land,Grazing Land,Road Density,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter,Cluster,PC1,PC2,Baseline_Stability,Stability
Abha,ASIA,42.50435606,18.22140152,43.99999999,43.99999999,39.86252173,3.675895855,1671.203,0.563656315,187285.0,138213.9999,-49071.00003,0.239941783,0.278471772,294.3863636,20.30492418,13.90378789,55.50844453,421.0770465,32.35454546,7.306818225,25.04772741,20.58863657,20.29659093,25.28446986,15.05,250.3409091,49.52272727,5.931818182,75.03246793,131.8863636,24.75,65.22727273,28.47727273,G,-0.051805113251552355,2.676222016802456,0.78963282937365,0.7290889851838556
Abidjan,AFRICA,-4.024012567,5.378067026,557.0,557.0,481.4470103,1.627864368,50.63654847,0.850454321,2876945.0,5485329.999,2608385.0,0.152468044,0.091117645,2280.615799,26.46927844,6.503170244,64.83307534,122.1082659,31.59365931,21.5677537,10.02590561,27.09100234,27.10166067,27.70908818,24.69743356,1707.025362,440.1630435,21.67753623,80.06699929,857.9076087,145.3949275,327.7101449,269.990942,L,4.320834650213194,-0.7441536973699108,0.8287307692307694,0.7993376004112293
Abilene,NORTH AMERICA,-99.76521739,32.43967391,138.0,138.0,140.7080279,1.933138558,518.907,0.708963918,95567.99997,106649.9999,11081.99997,0.113549901,0.291544967,5066.079709,18.11488529,13.7429347,38.68482247,804.8103032,35.17101443,-0.354347833,35.52536273,23.79323683,7.903381704,27.76111098,7.903381704,616.5652174,84.35507246,24.06521739,40.682627,216.5507246,84.08695652,186.4565217,84.08695652,E,-0.9068818880423195,1.264469996105554,0.33230769230769236,0.3406237233967413
Abohar,ASIA,74.33190576,30.33160458,1250.599139,1250.599139,1246.845761,0.250217522,193.4359555,0.757659401,1080577.162,986071.1938,-94505.96855,0.587859934,0.01151947,1144.504703,24.46003353,14.12395519,39.81678596,766.5247113,41.04890167,5.576884864,35.47201698,30.86458816,19.45378533,32.74884723,14.19441749,356.9533602,100.131551,2.702542575,120.5687487,270.3097324,17.34588341,127.5178276,26.26124751,K,0.9799346106551378,3.7477215583385872,0.7834722222222222,0.8249174945425957
Abomey,AFRICA,1.891247567,6.871754027,1421.624684,1421.624684,1232.23475,0.014044155,65.03368045,0.695055578,631287.679,1206915.358,575627.6791,0.539822772,0.275037972,288.8857693,27.07018469,8.943979246,70.62063007,130.1324952,34.29059799,21.62490696,12.66569104,27.19811857,27.55939793,28.62829034,25.38514554,1006.455453,162.7072021,5.134210937,63.61432702,430.717193,46.01761467,234.4837169,300.8474653,K,3.5772448533493146,1.3535667609962259,0.49111111111111105,0.6824448223104996
Abong Mbang,AFRICA,13.17083333,3.991666667,2.0,2.0,1.725291653,0.010377655,694.017,0.681136629,226.9999995,8967.999977,8740.999977,0.152484268,0.087539969,273.0,23.71250057,10.20000029,71.83098602,77.7841568,31.0,16.79999924,14.20000076,23.24166679,23.625,24.86666679,23.04166603,1604.5,298.0,21.0,63.28079605,661.5,90.0,310.5,467.5,J,3.194660257780434,-0.5166907585135655,0.8188245033112587,0.7775168482668782
Abra Pampa,SOUTH AMERICA,-65.70138889,-22.71805556,6.0,6.0,5.597799985,0.039789106,3707.566,0.460811297,820.9999978,8110.999986,7289.999988,0.062558051,0.007962669,443.0,10.81875006,17.02361107,62.24365362,356.5093486,22.06666692,-5.283333301,27.35000006,14.24999984,6.083333333,14.31388903,5.916666508,220.1666667,58.16666666,0.0,114.5883115,155.5,1.0,124.1666667,2.0,F,-2.269421459701746,2.335273856683907,0.7811392405063293,0.6765205741288193
Abu Dhabi,ASIA,54.40687075,24.44843537,122.0,123.0,116.2706766,10.74147294,18.492,0.757427807,398728.9997,747467.9994,348738.9998,0.000501477,3.38e-05,5619.975609,27.46071961,10.37356055,40.12960985,591.957049,40.17999996,14.34636364,25.83363632,20.48454543,30.20696976,34.17469694,19.87621202,62.93636364,22.11818182,0.0,114.7994979,45.96363636,1.0,2.0,35.7,I,0.34558454786984755,2.9033071314530097,0.4602127659574471,0.5020734795033861
Abu Kamal,ASIA,40.91550179,34.50134409,93.0,93.0,97.10792902,0.139416993,292.187,0.616083848,47755.99992,123160.9997,75404.99979,0.384870163,0.191614727,223.376344,20.72141569,13.13225803,35.37751495,913.8507179,39.90430106,2.786021486,37.11827986,10.95197134,30.91756253,31.40896047,9.129032279,133.6021505,26.01075269,0.0,80.2036625,64.23655914,0.0,1.0,58.64516129,D,-0.6598999322525199,3.362813182254446,0.7586760124610592,0.7464834374749205
Abuja,AFRICA,7.480218447,9.067354369,206.0,206.0,179.5161284,1.623463813,540.456766,0.786227283,174644.9999,889654.9999,715010.0,0.374220186,0.18292781,1643.723301,26.29648058,10.70663424,62.19709107,158.5707152,35.17038836,17.95533992,17.21504844,24.77451458,25.94223302,28.57524267,24.77451458,1369.354369,283.2912621,0.927184466,94.73461684,785.4660194,9.325242719,111.2572816,785.4660194,K,3.717090821965157,0.9842386776789812,0.49111111111111105,0.6495532568980859
Acapulco,NORTH AMERICA,-99.84317708,16.88692708,160.0,160.0,143.8907836,1.438388974,59.814,0.848337068,568939.0001,710957.9998,142018.9998,0.161885451,0.176461779,7376.200002,27.20733752,9.020545066,76.72103599,80.51288569,32.82389942,21.04905662,11.7748428,27.76215931,26.68710692,28.08396233,26.09696019,1289.320755,299.0691824,1.943396226,116.1317958,816.5220126,9.610062893,563.3018868,22.89937107,J,3.9823073449241857,0.8153733827998001,0.8260927152317883,0.8243032020336497
Acarau,SOUTH AMERICA,-40.12291667,-2.877083333,4.0,4.0,3.446587283,0.639386248,3.412,0.634999565,8653.999971,19902.99994,11248.99997,0.156068559,0.148931028,457.0,27.6520834,10.57083344,80.84949493,63.63432503,34.42500019,21.34999943,13.07500076,27.02083302,27.93749952,28.4124999,26.98333359,1308.25,343.25,2.75,115.5675831,872.25,10.75,39.5,516.7500006,J,4.295025835890207,1.0977279293846718,0.8260927152317883,0.8210621391400496
Acarigua,SOUTH AMERICA,-69.21199187,9.569308943,82.0,82.0,71.5606142,2.226026932,617.451,0.676555824,258613.9999,279703.9999,21089.99997,0.111675112,0.198477517,378.4146341,26.78953241,10.2099592,78.62174132,62.36005365,33.70975592,20.72317079,12.98658513,26.17235775,27.21768275,27.61016276,26.01585363,1174.243902,219.8658537,12.95121951,69.08224952,547.304878,54.62195123,107.0487805,533.6951219,J,3.4296769564350678,0.6256892302948229,0.8260927152317883,0.8169668632074566
Acatlan,NORTH AMERICA,-98.0547619,18.20595238,6.999999998,6.999999998,6.341202153,0.157454545,1433.058,0.636857321,13038.99997,12809.99996,-229.000005,0.13823412,0.511205017,1698.0,24.31607165,17.03690502,72.19069127,178.990315,35.97142901,12.37142835,23.60000093,24.69047628,22.04523822,26.54761887,22.04523822,606.1428571,128.5714286,3.714285713,99.52680206,335.2857143,14.0,188.0,14.0,G,1.8610033872765859,3.4309475848293123,0.8732397408207347,0.8387999636545658
Accra,AFRICA,-0.179774654,5.64505801,746.9999999,746.9999999,645.9649151,1.838232858,61.58809103,0.887400523,1934660.999,3779723.999,1845063.0,0.145376807,0.154617729,5224.945114,27.15471475,8.007863538,71.97305008,118.5882159,33.21248319,22.08791963,11.12456357,27.52519022,27.92210284,28.48404931,25.4921029,933.9892617,190.8174497,13.97181208,67.91888243,453.5409396,73.10067114,213.3946309,172.9181208,J,3.2083538224098276,0.748421271857289,0.8260927152317883,0.8279263191399101
Achinsk,ASIA,90.47426471,56.26405229,102.0,102.0,158.0351077,2.305530717,241.241,0.676959843,128983.9999,99655.99988,-29328.00002,0.047324617,0.026760792,246.5098037,1.326879093,8.909967338,20.72925719,1247.138608,24.15490207,-18.82745107,42.98235317,16.77565363,-11.94166666,16.77565363,-13.97058819,437.9019608,73.70588235,11.21568627,55.55439126,199.5882353,41.37254902,199.5882353,53.03921569,A,-4.8829191764295565,-0.5475512506588125,1.0,0.9991244755312877
Acu,SOUTH AMERICA,-36.91428571,-5.575,7.000000001,7.000000001,6.052575205,1.123655513,112.686,0.713713247,59608.99987,31789.99998,-27818.99989,0.142389698,0.245277204,237.285714,27.61249978,9.413095338,78.34939575,93.63046701,33.84285791,21.82857105,12.01428686,28.13809531,27.90238108,28.56190463,26.25714275,716.1428571,184.1428571,3.0,105.185863,449.5714286,12.0,165.1428571,77.42857142,J,3.2594056643440417,1.9249221509071284,0.39072847682119216,0.6634355201396603
Ad Dakhla,AFRICA,-15.94368687,23.70227273,15.99999998,16.99999998,15.97672232,1.867216489,130.388,0.726730788,16194.99997,129758.9998,113563.9998,0.0,0.0,314.0,20.44613075,7.051785707,58.03541265,170.9538879,26.40714305,14.25714288,12.15000016,21.3309521,20.00357137,22.68095262,18.45833329,47.00000001,15.78571429,0.0,111.6788183,21.78571429,2.0,20.57142857,18.85714286,J,0.17561810033233383,1.3952311624447276,0.1743543046357617,0.25395965270963833
Ad Damman,ASIA,50.10796205,26.39366749,404.0,404.0,388.1094487,11.94725721,6.67344555,0.794535141,1455553.999,1680319.999,224766.0,0.047718127,0.140430284,207.2747525,26.28225538,11.17375626,37.29310942,724.1025284,41.33457728,11.37636818,29.95820913,17.856675,33.46770315,34.58412112,16.93992537,78.8482587,20.91542289,0.0,103.5905848,53.69402985,0.0,0.0,39.64676617,I,0.07765837689379738,3.2504826088320735,0.4602127659574471,0.49603978451446423
Ad Diwaniyah,ASIA,44.92207602,31.99327485,57.0,57.0,57.83393692,2.852734596,63.51837722,0.685348922,299764.9997,322439.9996,22674.9999,0.32045119,0.080909207,1632.122807,23.76038006,14.61257305,37.82774848,915.9921993,43.59122795,4.96315793,38.62806949,12.05584802,34.42017605,34.42017605,12.05584802,111.4912281,22.22807017,0.0,85.16906979,59.19298245,0.0,0.0,59.19298245,D,-0.3013457007308591,3.7262593495396805,0.7586760124610592,0.7621332833651695
Ad Nabk,ASIA,36.72777778,34.03253968,21.0,21.0,21.80570677,0.240447387,899.087,0.635383477,49569.99994,53972.99994,4403.000001,0.03696473,0.512536277,467.6190478,13.56071436,13.95000008,42.05419559,744.0992606,31.87142808,-1.29999997,33.1714285,4.402381011,22.36825389,22.36825389,4.402381011,187.952381,36.47619048,0.0,76.75787245,93.85714287,0.0,0.0,93.85714287,D,-1.9453588818876117,2.436660378446552,0.7653271028037384,0.7711890327668764
Adana,ASIA,35.32170068,37.0064966,245.0,245.0,264.0041884,3.755490863,478.0393684,0.815131607,1284928.0,1414457.999,129529.9996,0.118464295,0.026002768,9197.346938,18.83352044,11.23363949,38.84658094,697.9366525,33.46979577,4.55428571,28.91551004,10.31802724,27.21027201,27.21027201,10.24523813,704.0040816,129.8408163,7.889795917,67.83787541,331.7428571,33.62448979,33.62448979,331.7428571,I,-0.4745285789739789,0.8302807790253133,0.6233333333333331,0.6856865787475769
Adapazari,ASIA,30.38877246,40.7500499,167.0,167.0,189.692401,1.847261565,537.179,0.820242792,440959.9998,373739.9998,-67219.99998,0.218621183,0.008392289,7408.23952,14.39673156,9.416916145,36.62383222,633.8106039,28.43173645,2.717365283,25.71437128,8.287225566,21.63802395,22.25548904,6.83353295,789.3592814,107.7065868,44.09580838,30.11041033,277.2155689,138.8443114,141.5508982,264.8862275,C,-1.0750924448951886,-1.1271102546116918,0.8307968127490041,0.7457107717304471
Addis Ababa,AFRICA,39.02709078,8.713908744,1399.0,1399.0,1217.979509,0.164385671,2027.389828,0.683614041,3072146.999,6494035.997,3421888.998,0.470666469,0.138281102,2538.095067,17.40356505,14.2211401,76.86338815,105.5278899,26.36233024,7.871908534,18.49042174,16.9608411,16.27541101,18.8133905,16.266345,935.0114367,219.1915654,5.318799142,92.098877,549.691208,30.78341673,206.9606862,62.0986419,F,1.3281745093145252,1.8432318447692961,0.7379746835443041,0.6906403360834886
Adelaide,AUSTRALIA,138.5913879,-34.90700124,936.9999996,945.9999998,992.7470957,1.66743508,113.6496744,0.849365352,1026809.0,1194513.999,167704.9998,0.026404392,0.011314387,8831.21776,16.30424208,10.16144834,47.20663493,408.6401131,28.35899894,6.848562294,21.51043658,11.2962371,21.21640041,21.33274759,11.2962371,556.2854099,77.59424919,17.8370607,44.38726625,217.8743344,66.72417465,68.12992545,217.8743344,I,-0.7807149630386614,-0.20234295585636441,0.624042553191489,0.6789251131426688
Aden,ASIA,45.0171875,12.8015625,37.99999998,41.99999999,37.06405994,2.0535548,11.81984525,0.689121803,192666.9998,137953.9998,-54712.99996,0.000822829,0.238307066,509.4047619,28.64224556,7.180786901,47.61365668,272.2618646,36.28055562,21.19999981,15.08055581,25.88333321,31.27777778,31.83611107,25.34907405,52.16666666,8.111111111,1.555555556,37.81852839,18.13888889,8.027777777,9.222222222,14.16666667,J,1.4607536181921925,2.0890196971992148,0.3725331125827816,0.3988725397089002
Adi Ugri,AFRICA,38.81489171,14.87416568,302.9569378,302.9569378,269.7464944,0.002316384,1558.551322,0.344851746,91324.12965,281259.0992,189934.9695,0.348895194,0.480005129,115.6898355,20.0834548,14.75126222,71.89344076,165.9878412,30.65100121,10.13337961,20.51762159,20.576728,18.27162095,22.34523573,18.08743136,632.373285,200.3510218,1.346583909,128.9653685,448.4960719,10.9421545,140.668558,21.31169054,G,1.5745307709195362,2.950755780077076,0.8743628509719227,0.8417961478809839
Adigrat,AFRICA,39.47854167,14.26166667,40.00000001,40.00000001,35.51625468,0.026444438,1733.47,0.503472073,27333.99992,140200.9998,112866.9999,0.38253235,0.283041472,240.9999999,15.93562498,14.88958333,71.70593452,170.8112667,25.74749985,4.982500004,20.76499982,17.01666651,14.40500002,17.9933332,13.74833329,566.625,162.6,6.324999995,109.3211512,347.875,29.37499999,136.45,32.92499999,F,0.3490572896562275,2.038836681340064,0.8068670886075953,0.766630256099003
Adiyaman,ASIA,38.26777778,37.7604321,135.0,135.0,146.9415417,0.703708777,699.121,0.791798584,171534.9999,187262.0,15727.00001,0.31284831,0.124640387,3428.725925,16.96271606,11.57160497,31.40801962,936.2780518,37.39999997,0.565925928,36.83407392,5.649876545,28.43975307,28.51086419,5.649876545,622.0740741,123.3259259,1.0,79.42596396,311.9925926,8.0,12.34074074,311.9925926,D,-0.86561137793169,1.884772704492221,0.7653271028037384,0.7599218733617462
Ado Ekiti,AFRICA,5.114623884,7.711366021,1804.388462,1804.388462,1566.947233,0.026573987,355.5956689,0.58788666,1367186.292,2557547.876,1190361.584,0.422837004,0.354562486,82.14537584,24.68739043,9.313929188,67.65057873,126.0604754,32.10725696,18.33385916,13.7733978,23.27724329,24.99348375,26.39667301,23.1641807,1356.217078,243.4951538,7.971843933,68.98222866,562.3748202,47.97539316,232.2716993,559.7085032,J,3.47007039818525,0.6495403250927388,0.8260927152317883,0.8143914372138844
Adrar,AFRICA,-0.29375,27.87060185,36.0,36.0,35.04376427,1.235933785,231.035,0.59020239,64731.99993,74146.99993,9414.999998,0.0,0.0,165.3333333,25.18865723,15.68055558,39.13518079,895.2202674,45.46111128,5.394444492,40.0666666,24.03657404,33.38055531,36.20740753,14.17037037,13.13888889,3.0,0.0,48.23584207,7.25,0.0,1.0,3.25,G,-0.21539331829948613,3.8146328391943323,0.78963282937365,0.7143985241076835
Afyon,ASIA,30.5594246,38.76170635,84.00000001,84.00000001,92.69896301,0.967463345,1237.62,0.769616172,164274.9999,117021.9999,-47252.99999,0.269426564,0.098155822,4933.190477,10.9791666,11.83988098,35.88874404,792.5978641,29.33809523,-3.64999999,32.98809492,1.200595251,20.25158725,20.66726171,1.200595251,493.4642857,67.25,11.91666667,41.71586114,172.2619048,45.5,67.73809524,172.2619048,D,-2.433004781150483,0.6009031745385394,0.3631619937694706,0.5365807733730393
Agadez,AFRICA,7.985470085,16.98760684,39.0,39.0,35.0921431,0.116807474,508.3094948,0.404508149,427.9999999,230670.9999,230242.9999,0.0,0.0,320.3333336,28.43931643,14.59871784,49.87295796,505.0126014,41.63846099,12.36666648,29.27179483,31.51196612,25.29572658,33.54700842,21.36666645,113.7948718,48.51282051,0.0,157.4200803,98.10256411,0.0,53.02564103,0.0,G,1.3700967059398206,4.359722142939655,0.8732397408207347,0.8347181998413974
Agadir,AFRICA,-9.554393939,30.3970202,164.9999999,165.0,164.6138118,2.926824837,376.438,0.782090496,548921.9999,874045.9997,325123.9998,0.095387969,0.123439717,195.6787879,18.96705488,9.747877926,50.74293236,318.230747,27.59627326,8.399378895,19.19689437,14.85703932,22.38509313,22.90942024,14.85703932,204.5341615,49.13043478,0.093167702,91.09188066,118.8198758,2.832298137,3.714285715,118.8198758,D,-0.33379674096604706,1.5385680278665372,0.7653271028037384,0.765451002833859
Agana,MICRONESIA,144.7880952,13.48833333,69.99999996,69.99999996,61.94663352,1.402852558,4.523,0.6912654,92488.99987,70947.99984,-21541.00003,0.0,0.0,329.8428571,26.86997554,5.805637163,76.39009801,57.12820721,30.60294132,23.00294138,7.599999933,27.08063729,26.43750006,27.45220588,26.04999988,2229.970588,351.2794118,74.17647059,52.8328959,972.1176471,246.7794118,535.9558823,278.9558824,N,4.664194799898632,-3.078350558346612,0.9688965517241386,0.9807310740443106
Agartala,ASIA,91.18710931,24.0508473,5002.963516,5002.963516,4714.530615,0.139969846,31.32366522,0.761319019,4560517.808,7528845.515,2968327.707,0.548650199,0.027143521,1217.992468,25.08349396,9.990404428,45.14004254,383.8797453,32.81155563,10.68788744,22.12366819,28.12562229,19.26785768,28.16315562,19.26785768,2217.045039,457.5587158,5.192594198,86.49205283,1174.373664,32.76336677,1160.593296,32.76336677,L,4.187589124711522,-0.11167943348490593,0.9121923076923076,0.8522432518839196
Agboville,AFRICA,-4.21127451,5.93872549,34.0,34.0,29.4166131,0.200703449,43.036,0.726247476,18772.99993,58716.99988,39943.99996,0.503848282,0.261800469,445.2941176,26.95281848,7.680146891,69.91193525,112.8673868,32.76176453,21.77647052,10.98529401,27.50931364,27.46911778,28.23578425,25.38382356,1349.882353,248.7058824,11.88235294,60.83389237,589.5588235,94.05882353,317.2058823,286.8823529,K,3.98130390470245,0.28351809894165314,0.49111111111111105,0.5700391383710105
