City,Region,Cluster,Baseline_Stability,Stability
Al Jubayl,ASIA,C,0.847576205,0.820388684
Al Karak,ASIA,C,0.847576205,0.819778991
Al Khalil,ASIA,C,0.848272162,0.70886062
Al Kharj,ASIA,C,0.847576205,0.812615156
Al Khums,AFRICA,C,0.848272162,0.821091355
Al Kut,ASIA,C,0.847576205,0.82151405
Al Ladhiqiyah,ASIA,C,0.848272162,0.768604345
Al Marj,AFRICA,C,0.848272162,0.822793929
Al Mubarraz,ASIA,C,0.847576205,0.816097738
Al Mukalla,ASIA,C,0.642606532,0.685868525
Al Musayyib,ASIA,C,0.847576205,0.820742762
Al Qamishli,ASIA,C,0.848272162,0.821987659
Al Qunaytirah,ASIA,C,0.848272162,0.822503731
Al Quwayiyah,ASIA,C,0.845722395,0.762437377
Al Wajh,ASIA,C,0.846419907,0.792789994
Al-Qatif,ASIA,C,0.848272162,0.821732186
Alagoinhas,SOUTH AMERICA,D,0.441640345,0.401605919
Alajuela,SOUTH AMERICA,E,0.973267257,0.973397365
Alamogordo,NORTH AMERICA,C,0.847849922,0.820272255
Alapayevsk,ASIA,A,0.983337674,0.970074466
Alatyr,EUROPE,A,0.983337674,0.970142504
Alayat Samail,ASIA,C,0.845722395,0.790048771
Albacete,EUROPE,C,0.848272162,0.794557112
Albany1,NORTH AMERICA,B,0.802774415,0.75981215
Albany2,NORTH AMERICA,B,0.866816369,0.822867512
Albany3,NORTH AMERICA,B,0.802774415,0.739480131
Albany4,AUSTRALIA,B,0.802774415,0.732717742
Albert Lea,NORTH AMERICA,A,0.983337674,0.970182187
Albuquerque,NORTH AMERICA,C,0.848272162,0.791928635
Albury,AUSTRALIA,B,0.802774415,0.721551497
Aldama,NORTH AMERICA,D,0.555454658,0.705366717
Aldan,ASIA,A,0.983337674,0.970027441
Aleksandrovsk,ASIA,A,0.983337674,0.970127336
Alekseyevka,EUROPE,A,0.983337674,0.970239241
Aleksin,EUROPE,A,0.983337674,0.970077859
Aleppo,ASIA,C,0.848272162,0.788927432
Alexandria1,NORTH AMERICA,B,0.76663205,0.718514207
Alexandria2,NORTH AMERICA,B,0.868270289,0.84320735
Alexandria3,AFRICA,C,0.848272162,0.818807542
Alexandroupoli,EUROPE,B,0.802774415,0.749556825
Aleysk,ASIA,A,0.983337674,0.969989966
Algeciras,EUROPE,C,0.290070762,0.469705447
Algha,ASIA,A,0.983337674,0.970181011
Algiers,AFRICA,C,0.848272162,0.676454154
Ali Bayramli,ASIA,C,0.544748834,0.561128578
Ali Sabih,AFRICA,D,0.553492906,0.607071368
Alicante,EUROPE,C,0.848272162,0.732028008
Alice,NORTH AMERICA,C,0.846419907,0.760728403
Alice Springs,AUSTRALIA,C,0.846419907,0.797357436
Aligarh,ASIA,D,0.555454658,0.659618126
Alipur Duar,ASIA,E,0.973267257,0.925329659
Aliwal North,AFRICA,C,0.847576205,0.815116292
Allahabad,ASIA,D,0.555454658,0.659074149
Allanmyo,ASIA,D,0.555454658,0.658500687
Allappey,ASIA,E,0.973267257,0.973162082
Allende,NORTH AMERICA,C,0.846419907,0.802258441
Allentown,NORTH AMERICA,B,0.868270289,0.842751741
Alliance,NORTH AMERICA,C,0.286940124,0.343804906
Almaty,ASIA,B,0.868270289,0.761258018
Almenara,SOUTH AMERICA,D,0.555454658,0.668416868
Almeria,EUROPE,C,0.848272162,0.692582953
Almetyevsk,EUROPE,A,0.983337674,0.970132114
Almirante,SOUTH AMERICA,E,0.973267257,0.97359727
Alor Setar,ASIA,E,0.973267257,0.973349247
Alotau,MELANESIA,E,0.973267257,0.973623282
Alpena,NORTH AMERICA,A,0.983337674,0.970163568
Alpine,NORTH AMERICA,C,0.847576205,0.814311464
Alta Gracia,SOUTH AMERICA,C,0.847849922,0.818986921
Altagracia de Orituco,SOUTH AMERICA,D,0.656673658,0.728332615
Altamira,SOUTH AMERICA,E,0.973267257,0.971549091
Altay,ASIA,A,0.983337674,0.970209528
Alton,NORTH AMERICA,B,0.868270289,0.843111594
Altoona,NORTH AMERICA,B,0.867396836,0.838410854
Alvorada,SOUTH AMERICA,D,0.656673658,0.725055415
Alwar,ASIA,D,0.555454658,0.659361417
Alxa Zuoqi,ASIA,A,0.831454884,0.786353801
Am Timan,AFRICA,D,0.555454658,0.658931224
Amahai,MELANESIA,E,0.973267257,0.973669239
Amapa,SOUTH AMERICA,E,0.973267257,0.972145484
Amarillo,NORTH AMERICA,C,0.848272162,0.807536195
Amasya,ASIA,C,0.290070762,0.429749618
Ambala,ASIA,D,0.555454658,0.658241583
Ambanja,AFRICA,E,0.749012389,0.731964324
Ambato,SOUTH AMERICA,C,0.784391913,0.600675195
Ambatondrazaka,AFRICA,D,0.606769278,0.711277576
Ambon,MELANESIA,E,0.973267257,0.973571903
Amderma,EUROPE,A,0.983337674,0.970056567
Americana,SOUTH AMERICA,D,0.656673658,0.72492301
Ames,NORTH AMERICA,A,0.983337674,0.970129878
Amherst,NORTH AMERICA,B,0.865983494,0.80905501
Amiens,EUROPE,B,0.868270289,0.843240432
Amman,ASIA,C,0.848272162,0.76867435
Ammochostos,ASIA,C,0.848272162,0.823093768
Amol,ASIA,B,0.802774415,0.708545201
Amos,NORTH AMERICA,A,0.983337674,0.969953293
Amravati,ASIA,D,0.555454658,0.65889376
Amritsar,ASIA,D,0.555454658,0.653527828
Amsterdam,EUROPE,B,0.868270289,0.843291928
Amursk,ASIA,A,0.983337674,0.97007974
An Najaf,ASIA,C,0.848272162,0.822190168
An Nasiriyah,ASIA,C,0.847576205,0.821830123
Anaco,SOUTH AMERICA,D,0.555454658,0.675482961
Anapolis,SOUTH AMERICA,D,0.656673658,0.724096003
Anatuya,SOUTH AMERICA,C,0.845722395,0.783230319
Anbyon,ASIA,A,0.983337674,0.944034158
Anchorage,NORTH AMERICA,B,0.863401651,0.800079659
Ancona,EUROPE,B,0.857922971,0.838488731
Ancud,SOUTH AMERICA,E,0.265927434,0.677571711
Anda,ASIA,A,0.983337674,0.970131196
Anderson,NORTH AMERICA,B,0.802774415,0.793063198
Andijon,ASIA,C,0.848272162,0.744854997
Andkhvoy,ASIA,C,0.848272162,0.820825088
Andoany,AFRICA,E,0.973267257,0.912039254
Andong,ASIA,B,0.866816369,0.679075843
Andorra,EUROPE,B,0.866816369,0.830407441
Andradina,SOUTH AMERICA,D,0.656673658,0.725356639
Androka,AFRICA,D,0.555454658,0.647796935
Angangxi,ASIA,A,0.983337674,0.970117214
Angarsk,ASIA,A,0.983337674,0.970079677
Angeles,MALAY ARCHIPELAGO,D,0.652927822,0.642686591
Angers,EUROPE,B,0.856390646,0.833555096
Angoche,AFRICA,D,0.656673658,0.72648271
Angol,SOUTH AMERICA,B,0.802774415,0.738855575
Angra do Heroismo,EUROPE,B,0.798818432,0.749105993
Angren,ASIA,C,0.848272162,0.76066591
Ankang,ASIA,C,0.848272162,0.658417631
Ankara,ASIA,C,0.290070762,0.422889233
Anlu,ASIA,B,0.856390646,0.729954214
Ann Arbor,NORTH AMERICA,B,0.866816369,0.824662247
Anna Regina,SOUTH AMERICA,E,0.973267257,0.973631406
Annaba,AFRICA,C,0.848272162,0.759938014
Annapolis,NORTH AMERICA,B,0.868270289,0.844031758
Annecy,EUROPE,B,0.868270289,0.843636723
Anqing,ASIA,B,0.85957359,0.812695837
Ansan,ASIA,B,0.867910591,0.84295634
Anshan,ASIA,A,0.983337674,0.970075232
Anshun,ASIA,B,0.78142641,0.641786823
Antalaha,AFRICA,E,0.973267257,0.973727474
Antalya,ASIA,C,0.848272162,0.673576843
Antananarivo,AFRICA,D,0.656673658,0.725840192
Antigonish,NORTH AMERICA,B,0.866816369,0.812321093
Antofagasta,SOUTH AMERICA,C,0.535663297,0.564300037
Antsirabe,AFRICA,D,0.656673658,0.722586591
Antsiranana,AFRICA,D,0.656673658,0.718112888
Antsohihy,AFRICA,D,0.656673658,0.702361908
Antwerpen,EUROPE,B,0.868270289,0.843253177
Anuradhapura,ASIA,D,0.656673658,0.692734823
Anxi,ASIA,A,0.762306977,0.746413466
Anyang,ASIA,C,0.743741058,0.51883747
Anzhero Sudzhensk,ASIA,A,0.983337674,0.970014989
Aomori,ASIA,B,0.867910591,0.843213616
Apalachicola,NORTH AMERICA,B,0.776308803,0.725788326
Apatity,EUROPE,A,0.983337674,0.970039471
Apatzingan,NORTH AMERICA,D,0.555454658,0.658829746
Apia,POLYNESIA,E,0.973267257,0.973759829
Apodi,SOUTH AMERICA,D,0.555454658,0.663578557
Apolo,SOUTH AMERICA,D,0.656673658,0.720197861
Appleton,NORTH AMERICA,A,0.983337674,0.923737836
Apsheronsk,EUROPE,B,0.868270289,0.843152485
Apucarana,SOUTH AMERICA,B,0.049790234,0.119201766
Aqadyr,ASIA,A,0.983337674,0.97014371
Aqsay,ASIA,A,0.983337674,0.970194076
Aqtau,ASIA,B,0.802774415,0.776853572
Aqtobe,ASIA,A,0.983337674,0.970038723
Aquidauana,SOUTH AMERICA,D,0.656673658,0.722308536
Ar Ramadi,ASIA,C,0.848272162,0.823323768
Ar Raqqah,ASIA,C,0.848272162,0.822924665
Ar Rutbah,ASIA,C,0.848272162,0.822046561
Aracaju,SOUTH AMERICA,E,0.973267257,0.965106709
Aracati,SOUTH AMERICA,D,0.656673658,0.714940516
Aracatuba,SOUTH AMERICA,D,0.656673658,0.725853029
Aracuai,SOUTH AMERICA,D,0.555454658,0.659419531
Arad,EUROPE,B,0.868270289,0.843940718
Araguaina,SOUTH AMERICA,D,0.653811845,0.625774365
Araguari,SOUTH AMERICA,D,0.656673658,0.725169362
Arak,ASIA,C,0.848272162,0.795711091
Aral,ASIA,A,0.983337674,0.854180901
Aranyaprathet,ASIA,D,0.656673658,0.725007718
Arapiraca,SOUTH AMERICA,D,0.555454658,0.67127087
Arapongas,SOUTH AMERICA,D,0.444326342,0.475735018
Arar,ASIA,C,0.848272162,0.8223576
Ararangua,SOUTH AMERICA,B,0.406540578,0.361855136
Ararat,AUSTRALIA,B,0.802774415,0.712272363
Arauca,SOUTH AMERICA,D,0.547776681,0.538559021
Araxa,SOUTH AMERICA,D,0.656673658,0.71888277
Arba Minch,AFRICA,D,0.555454658,0.652048536
Arcata,NORTH AMERICA,B,0.802774415,0.753839616
Archangel,EUROPE,A,0.983337674,0.970100904
Arcoverde,SOUTH AMERICA,D,0.555454658,0.658953741
Arctic Bay,NORTH AMERICA,A,0.983337674,0.969911665
Ardabil,ASIA,C,0.291235614,0.430240797
Ardmore,NORTH AMERICA,B,0.802774415,0.72628531
Arecibo,SOUTH AMERICA,E,0.973267257,0.959843707
Arequipa,SOUTH AMERICA,C,0.847576205,0.812131222
Arezzo,EUROPE,B,0.802774415,0.788370425
Argentia,NORTH AMERICA,B,0.863401651,0.78490078
Arica,SOUTH AMERICA,C,0.615791602,0.596939842
Arjona,SOUTH AMERICA,D,0.656673658,0.718020031
Armavir,EUROPE,B,0.867910591,0.809959164
Armenia,SOUTH AMERICA,E,0.973267257,0.973516696
Armidale,AUSTRALIA,C,0.290070762,0.526808331
Arqalyq,ASIA,A,0.983337674,0.970148144
Arras,EUROPE,B,0.868270289,0.843671964
Arrecife,AFRICA,C,0.848272162,0.819698548
Arroyos y Esteros,SOUTH AMERICA,D,0.656673658,0.712903559
Arsenyev,ASIA,A,0.983337674,0.970198072
Artemisa,NORTH AMERICA,D,0.587678593,0.567319653
Artemovsk,ASIA,A,0.983337674,0.970001044
Artemovskiy,ASIA,A,0.983337674,0.970120602
Artigas,SOUTH AMERICA,B,0.766040578,0.489403606
Arua,AFRICA,D,0.656673658,0.705245281
Arusha,AFRICA,D,0.555454658,0.6593792
Arvayheer,ASIA,A,0.983337674,0.954168863
Arviat,NORTH AMERICA,A,0.983337674,0.970087472
Arxan,ASIA,A,0.983337674,0.970084224
Arys,ASIA,C,0.848272162,0.776471288
Arzamas,EUROPE,A,0.983337674,0.970025292
As Salt,ASIA,C,0.848272162,0.820296455
As Samawah,ASIA,C,0.847576205,0.81232255
As Sulaymaniyah,ASIA,C,0.848272162,0.815972647
As Sulayyil,ASIA,C,0.642606532,0.645533812
As Suwayda,ASIA,C,0.848272162,0.822424098
Asahikawa,ASIA,A,0.983337674,0.900428427
Asbest,ASIA,A,0.983337674,0.970070897
Ascension,NORTH AMERICA,C,0.847011664,0.804025089
Asela,AFRICA,C,0.847576205,0.808061596
Ash Shatrah,ASIA,C,0.847576205,0.809083518
Ash Shihr,ASIA,C,0.642606532,0.607267223
Asha,EUROPE,A,0.983337674,0.970125053
Ashburton1,POLYNESIA,B,0.802774415,0.816930059
Ashburton2,POLYNESIA,B,0.802774415,0.821253815
Asheville,NORTH AMERICA,B,0.863615543,0.83902516
Ashgabat,ASIA,C,0.848272162,0.802163463
Asino,ASIA,A,0.983337674,0.970107034
Asmara,AFRICA,C,0.642606532,0.679775151
Asosa,AFRICA,D,0.55800802,0.691445971
Assab,AFRICA,D,0.555454658,0.640902623
Assis,SOUTH AMERICA,D,0.656673658,0.724996073
Astana,ASIA,A,0.983337674,0.970264599
Asti,EUROPE,B,0.868270289,0.843287633
Astoria,NORTH AMERICA,B,0.76663205,0.716863899
Astrakhan,EUROPE,A,0.983337674,0.970142954
Asuncion,SOUTH AMERICA,D,0.617156076,0.495490822
Aswan,AFRICA,C,0.848272162,0.821892707
Asyut,AFRICA,C,0.848272162,0.82263367
At Bashy,ASIA,A,0.983337674,0.955596789
At Taif,ASIA,C,0.847576205,0.817616691
Atakpame,AFRICA,D,0.656673658,0.705754072
Atamyrat,ASIA,C,0.848272162,0.821819102
Atar,AFRICA,C,0.642606532,0.588496294
Atasu,ASIA,A,0.983337674,0.97014078
Atbara,AFRICA,D,0.553492906,0.621458154
Atbasar,ASIA,A,0.983337674,0.970061995
Athabasca,NORTH AMERICA,A,0.983337674,0.970056056
Athens1,NORTH AMERICA,B,0.802774415,0.801337722
Athens2,EUROPE,B,0.802774415,0.726798117
Atherton,AUSTRALIA,E,0.973267257,0.962006839
Ati,AFRICA,D,0.555454658,0.659046425
Atikokan,NORTH AMERICA,A,0.983337674,0.970122571
Atkarsk,EUROPE,A,0.983337674,0.969980613
Atlanta,NORTH AMERICA,B,0.802774415,0.80651626
Atlantic City,NORTH AMERICA,B,0.867948418,0.841371726
Atlixco,NORTH AMERICA,C,0.642606532,0.612439833
Atoyac,NORTH AMERICA,D,0.6566095,0.724167027
Atyrau,ASIA,A,0.983337674,0.967329718
Auburn,NORTH AMERICA,B,0.802774415,0.77243702
Auckland,POLYNESIA,B,0.76663205,0.743848122
Augsburg,EUROPE,B,0.867910591,0.842821915
Augusta1,NORTH AMERICA,B,0.802774415,0.759903839
Augusta2,NORTH AMERICA,B,0.863401651,0.691536502
Aurangabad1,ASIA,D,0.555454658,0.661051106
Aurangabad2,ASIA,D,0.555454658,0.659773965
Aurora1,NORTH AMERICA,C,0.291235614,0.435173387
Aurora2,NORTH AMERICA,B,0.867396836,0.837473672
Austin,NORTH AMERICA,B,0.802774415,0.726911654
Autlan,NORTH AMERICA,D,0.555454658,0.659105521
Auxerre,EUROPE,B,0.868270289,0.843586863
Avare,SOUTH AMERICA,D,0.656673658,0.724840425
Aweil,AFRICA,D,0.555454658,0.659541301
Awka,AFRICA,D,0.653811845,0.65815639
Ayacucho,SOUTH AMERICA,C,0.846419907,0.798946271
Ayakoz,ASIA,A,0.983337674,0.969906251
Ayapel,SOUTH AMERICA,E,0.973267257,0.965938189
Ayaviri,SOUTH AMERICA,C,0.847287714,0.754967516
Aydin,ASIA,C,0.848272162,0.812380943
Ayorou,AFRICA,D,0.555454658,0.658046172
Ayounel el Atrous,AFRICA,D,0.555454658,0.638734085
Ayr1,EUROPE,B,0.868270289,0.843624989
Ayr2,AUSTRALIA,D,0.656673658,0.725706246
Ayutthaya,ASIA,D,0.6566095,0.717969817
Az Aubayr,ASIA,C,0.848272162,0.821114307
Az Zahran,ASIA,C,0.848272162,0.821346309
Az Zarqa,ASIA,C,0.848272162,0.820101331
Az Zawiyah,AFRICA,C,0.848272162,0.765600181
Azare,AFRICA,D,0.555454658,0.659224619
Azogues,SOUTH AMERICA,C,0.306114308,0.593957677
Azul,SOUTH AMERICA,B,0.802774415,0.764087459
Babahoyo,SOUTH AMERICA,D,0.653811845,0.651743603
Babanusa,AFRICA,D,0.555454658,0.658589008
Babati,AFRICA,D,0.555454658,0.659422105
Babruysk,EUROPE,B,0.863401651,0.735469142
Bac Giang,ASIA,D,0.653811845,0.669771424
Bac Lieu,ASIA,D,0.653811845,0.669777317
Bacabal,SOUTH AMERICA,D,0.652028378,0.617041839
Bacau,EUROPE,A,0.983337674,0.921942834
Bacolod,MALAY ARCHIPELAGO,E,0.973267257,0.973619777
Badajoz,EUROPE,C,0.848272162,0.809026552
Baddeck,NORTH AMERICA,B,0.863401651,0.809275431
Badulla,ASIA,E,0.973267257,0.973633652
Bafang,AFRICA,E,0.973267257,0.965256204
Bafata,AFRICA,D,0.656673658,0.715120701
Bafia,AFRICA,D,0.656673658,0.689892372
Bafoussam,AFRICA,E,0.973267257,0.960319487
Bafra,ASIA,B,0.802774415,0.789993806
Bagamoyo,AFRICA,D,0.656673658,0.725154174
Bage,SOUTH AMERICA,B,0.764647868,0.655218339
Baghdad,ASIA,C,0.848272162,0.821562363
Baghlan,ASIA,C,0.848272162,0.821822797
Bago,ASIA,E,0.882550442,0.79517821
Baguio City,MALAY ARCHIPELAGO,E,0.973267257,0.861558545
Bahawalpur,ASIA,C,0.642606532,0.567459141
Bahia Blanca,SOUTH AMERICA,C,0.290070762,0.43058559
Bahir Dar,AFRICA,D,0.555454658,0.659214429
Bahraich,ASIA,D,0.6566095,0.714570008
Baia Mare,EUROPE,B,0.867396836,0.84145247
Baicheng,ASIA,A,0.983337674,0.970137901
Baie-Comeau,NORTH AMERICA,A,0.983337674,0.969961966
Baiquan,ASIA,A,0.983337674,0.970150096
Bairnsdale,AUSTRALIA,B,0.802774415,0.704531186
Bakal,EUROPE,A,0.983337674,0.970124706
Baker Lake,NORTH AMERICA,A,0.983337674,0.970149752
Bakersfield,NORTH AMERICA,C,0.848272162,0.817669745
Baku,ASIA,B,0.802774415,0.753468823
Balakhna,EUROPE,A,0.983337674,0.970073094
Balakovo,EUROPE,A,0.983337674,0.970209893
Balancan,NORTH AMERICA,D,0.653811845,0.662946828
Balashov,EUROPE,A,0.983337674,0.97015879
Balboa,SOUTH AMERICA,E,0.973267257,0.973414018
Balcarce,SOUTH AMERICA,B,0.802774415,0.799166385
Baleshwar,ASIA,D,0.656673658,0.712520192
Balikesir,ASIA,C,0.290070762,0.434468543
Balikpapan,MALAY ARCHIPELAGO,E,0.973267257,0.973667997
Balkanabat,ASIA,C,0.848272162,0.81572689
Balkh,ASIA,C,0.848272162,0.822014744
Ballarat,AUSTRALIA,B,0.802774415,0.795123753
Ballina,AUSTRALIA,E,0.973267257,0.972714132
Balqash,ASIA,A,0.983337674,0.970077763
Balsas,SOUTH AMERICA,D,0.6566095,0.714781722
Baltasar Brum,SOUTH AMERICA,B,0.05012586,0.201177106
Balti,EUROPE,A,0.983337674,0.874797981
Baltimore,NORTH AMERICA,B,0.868270289,0.844454748
Balykchy,ASIA,A,0.983337674,0.935623498
Balyqshy,ASIA,A,0.983337674,0.970153007
Bama,AFRICA,D,0.555454658,0.658164773
Bamako,AFRICA,D,0.555454658,0.659586151
Bambari,AFRICA,D,0.656673658,0.703277033
Bamenda,AFRICA,E,0.973267257,0.965389588
Bamian,ASIA,A,0.828566512,0.7672176
Banamba,AFRICA,D,0.555454658,0.658920529
Banda Aceh,MALAY ARCHIPELAGO,E,0.973267257,0.973734895
Bandar Lampung,MALAY ARCHIPELAGO,E,0.973267257,0.9735851
Bandar Seri Begawan,MALAY ARCHIPELAGO,E,0.973267257,0.973664986
Bandar-e Bushehr,ASIA,C,0.848272162,0.822694858
Bandar-e-Abbas,ASIA,C,0.847011664,0.796479347
Bandjarmasin,MALAY ARCHIPELAGO,E,0.973267257,0.97367154
Bandundu,AFRICA,D,0.656673658,0.698404527
Bandung,MALAY ARCHIPELAGO,E,0.973267257,0.972932933
Banes,NORTH AMERICA,D,0.656673658,0.693365081
Banff,NORTH AMERICA,A,0.983337674,0.97010185
Banfora,AFRICA,D,0.6566095,0.721818107
Bangalore,ASIA,D,0.555454658,0.659131231
Bangassou,AFRICA,D,0.656673658,0.699601461
Banghazi,AFRICA,C,0.290070762,0.5103286
Bangkok,ASIA,D,0.656673658,0.721631902
Bangor,NORTH AMERICA,B,0.863401651,0.780636655
Banguela,AFRICA,D,0.555454658,0.659959893
Bangui,AFRICA,D,0.656673658,0.6872005
Bani Walid,AFRICA,C,0.848272162,0.821971029
Banja Luka,EUROPE,B,0.868270289,0.844341141
Banjul,AFRICA,D,0.601044417,0.709363843
Bannu,ASIA,C,0.642606532,0.610901731
Bansang,AFRICA,D,0.555454658,0.659771447
Banska Bystrica,EUROPE,B,0.863401651,0.805878594
Banyuwangi,MALAY ARCHIPELAGO,D,0.441640345,0.415097699
Baoding,ASIA,A,0.875060465,0.591786511
Baoji,ASIA,C,0.275828927,0.382229528
Baoshan,ASIA,C,0.847576205,0.787823851
Baotou,ASIA,A,0.983337674,0.950109169
Baqubah,ASIA,C,0.847849922,0.823232613
Bar Harbor,NORTH AMERICA,B,0.866816369,0.827250293
Barabinsk,ASIA,A,0.983337674,0.970054705
Barahona,SOUTH AMERICA,D,0.555454658,0.69270827
Baramula,ASIA,C,0.848272162,0.739768703
Baranavichy,EUROPE,B,0.863401651,0.625819034
Barbacena,SOUTH AMERICA,D,0.656673658,0.725084385
Barcaldine,AUSTRALIA,C,0.642606532,0.631223398
Barcelona1,EUROPE,B,0.802774415,0.795369452
Barcelona2,SOUTH AMERICA,D,0.621144972,0.717041722
Barcelos,SOUTH AMERICA,E,0.973267257,0.973478773
Barddhaman,ASIA,D,0.6566095,0.715944931
Bareilly,ASIA,D,0.555454658,0.675176407
Bari,EUROPE,B,0.802774415,0.744176234
Barinas,SOUTH AMERICA,D,0.441640345,0.432595611
Barisal,ASIA,D,0.653811845,0.645723445
Barlett,NORTH AMERICA,B,0.802774415,0.794311249
Barletta,EUROPE,B,0.802774415,0.731709119
Barnaul,ASIA,A,0.983337674,0.970127125
Barquisimeto,SOUTH AMERICA,D,0.656673658,0.726640338
Barra Mansa,SOUTH AMERICA,D,0.656673658,0.725461036
Barra do Bugres,SOUTH AMERICA,D,0.656673658,0.726032342
Barra do Garcas,SOUTH AMERICA,D,0.656673658,0.726102165
Barrancabermeja,SOUTH AMERICA,E,0.973267257,0.973743062
Barranquilla,SOUTH AMERICA,D,0.656673658,0.727237952
Barras,SOUTH AMERICA,D,0.656673658,0.699847774
Barreiras,SOUTH AMERICA,D,0.555454658,0.660554815
