City,Region,Area,Brightness,Elevation,Human Modification,2000 Population,2021 Population,Population Change,Crop Land,Grazing Land,Road Density,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter
Abbottabad,ASIA,0.019197323,-0.678156546,1.797819066,0.634231041,-0.005731571,0.096490064,0.402858565,1.913459507,-0.797572165,-0.326863686,0.2953467,0.737214836,-0.440617266,0.35845483,1.015605127,-0.058649525,0.566281836,0.866817299,0.115975548,0.717189138,0.022349237,0.274265426,0.646900466,-0.190234596,0.423653133,0.462221614,-0.013734507,1.344484109,0.079538522
Abeche,AFRICA,-0.128584743,-0.740723749,-0.003810846,-0.403929526,-0.132051617,-0.131259906,-0.10493067,-0.581824221,3.682796924,-0.608399245,1.455513241,1.684082937,0.713470519,-0.767052278,1.964916975,0.953347023,-0.151043455,1.199381498,1.046202903,1.715417282,1.270653507,-0.893459804,-0.048791632,-0.86580493,2.889962891,-0.341259011,-0.92772702,-1.089784891,-0.794393872
Abengourou,AFRICA,-0.123031212,-0.646651803,-0.526810527,0.964572833,-0.161064988,-0.14551879,-0.069853718,1.970191138,0.818091881,-0.220579201,1.175248022,-0.94935183,1.23461369,-1.148622765,0.542766963,1.378590284,-1.3449599,1.027209842,1.028942976,0.844028893,1.214952716,0.383770481,0.344210053,-0.593272041,-0.014998841,0.259169973,-0.1952392,0.18372838,0.528209659
Abeokuta,AFRICA,-0.083419685,-0.70236322,-0.515273274,0.693167309,-0.06645347,-0.072830483,-0.079818302,0.816964285,1.520492424,-0.512294063,1.218906045,-0.82368546,1.256805147,-1.107481664,0.717252781,1.421617263,-1.309724441,0.90881171,1.08099987,0.954842541,1.23092913,0.405643491,0.331128404,-0.479883255,0.094288465,0.344751283,-0.404735512,-0.101858561,0.955740864
Aberdeen1,NORTH AMERICA,-0.121840224,0.258191057,-0.108305972,0.506317839,-0.161129295,-0.16138257,-0.132897668,0.475896406,-0.268640088,0.52752415,-1.162437852,0.851620588,-1.004843329,1.619043991,-0.043445249,-1.577258956,1.821833466,-0.104742763,-1.735668324,-0.421826546,-1.432436236,-0.690737991,-0.620888491,-0.545961931,-0.039867896,-0.636565618,-0.601644063,-0.267139803,-0.651513819
Aberdeen2,NORTH AMERICA,-0.118466516,-0.210940552,-0.484659245,0.107936293,-0.160304509,-0.160572376,-0.132280739,-1.059103281,-0.710401561,0.734901595,-0.719341016,-0.809037834,-0.114654266,-0.387710751,-1.523839013,-0.075534117,-0.658564368,-1.922279328,0.155395338,-1.449928819,-0.287175816,1.955446087,1.621354711,0.476305502,0.054817014,1.914691463,0.620244848,-0.434603385,3.363997539
Aberdeen3,EUROPE,-0.081734283,1.092578613,-0.620870552,0.625201105,-0.120907261,-0.127940959,-0.127008086,-0.740325439,-0.521456372,1.306859575,-0.985348108,-1.333190454,-0.427766732,-0.3487546,-2.048168739,-0.256071434,-0.704568177,-1.946460208,-0.321047605,-1.8392739,-0.479160484,-0.277366787,-0.657271482,0.831913862,-1.288541661,-0.600261201,0.628080551,-0.443818419,0.073766162
Abha,ASIA,-0.123360614,1.864894692,1.942817026,-0.886361484,-0.123823476,-0.140992742,-0.16980482,0.328824306,0.861076844,-0.588082299,0.455959203,1.166864615,0.466701979,-0.401264353,0.426766431,0.330862293,-0.177475821,0.143050981,0.446536431,0.356448325,0.45969425,-1.075335889,-0.920918005,-0.67389913,0.409475651,-0.933113744,-0.691011718,-0.994048654,-0.673862704
Abidjan,AFRICA,-0.039335361,0.387951961,-0.711102493,1.236193375,0.478837077,0.811139621,1.716803997,-0.178128039,-0.267672358,0.12219076,1.184664965,-1.666495903,0.960706137,-1.13570967,0.291892373,1.420941034,-1.51740257,1.05394115,1.04194546,0.824530801,1.205584308,1.070907692,2.218147371,-0.177137589,0.565065051,1.328153455,0.455603046,0.241507511,0.33842359
Abilene,NORTH AMERICA,-0.104171604,0.608101162,0.055760285,0.189041247,-0.14437411,-0.146613175,-0.127100377,-0.403677371,0.939838702,1.118269026,0.200143535,1.116876076,-0.416292279,0.544208057,0.946052759,-0.253074353,0.759391872,0.592194726,-0.415128029,0.831577265,-0.090713243,-0.534245036,-0.638912166,-0.096559339,-0.595102383,-0.668477299,-0.121067837,-0.421429144,-0.440939316
Abohar,ASIA,0.106305678,-0.605541308,-0.477247144,0.549430203,0.076332658,0.009980656,-0.202060486,2.345177147,-0.747226124,-0.284081088,0.948732356,1.254238035,-0.358839229,0.450261973,2.014970951,0.20083949,0.752840006,1.580646737,0.458145349,1.780615832,0.395621434,-0.918866005,-0.514099744,-0.778547592,1.746410545,-0.500451969,-0.761161226,-0.700429153,-0.683715574
Abomey,AFRICA,0.103525476,-0.775858288,-0.68752504,0.086107426,-0.024337705,0.049305196,0.273687767,2.066778714,0.840389289,-0.590049304,1.257189751,-0.733150422,1.260917495,-1.114575359,0.78646242,1.426137949,-1.281087629,1.073896587,1.078133642,1.002043815,1.259085694,0.04518513,-0.007335537,-0.700693666,0.077979523,0.003935434,-0.487186501,-0.191486757,0.469378658
Abong Mbang,AFRICA,-0.130617414,-0.778502393,0.342529055,-0.016904911,-0.165736758,-0.164006887,-0.128762324,-0.178034012,-0.289226726,-0.595730034,0.848081112,-0.379128941,1.351446583,-1.248575933,0.109512761,1.067656116,-1.193950955,0.505878244,0.769201467,0.257429634,1.070065349,0.916238819,1.042047355,-0.162150331,0.052698939,0.708300514,-0.06456625,0.148455238,1.172308036
Abra Pampa,SOUTH AMERICA,-0.129880549,-0.757292256,5.277665472,-1.647504128,-0.165603663,-0.164159488,-0.129792433,-0.699199642,-0.768654723,-0.534938256,-0.651245074,2.362876153,0.820888911,-0.557432282,-1.424484606,-0.622218248,0.028963727,-0.730888434,-0.549465132,-1.708075635,-0.240596335,-1.12071935,-0.853811213,-0.86580493,1.574950278,-0.85820624,-0.918136345,-0.712367941,-0.785989163
Abu Dhabi,ASIA,-0.108821574,6.960252252,-0.76374399,0.547716206,-0.076446128,-0.032506139,0.112612595,-1.058847301,-0.816423866,1.316341478,1.303948228,-0.150492918,-0.333146336,0.021184962,1.864695391,0.866994835,-0.099253914,0.137328337,1.362727368,2.054489125,0.835003197,-1.356587701,-1.143781485,-0.86580493,1.599587698,-1.203703762,-0.918136345,-1.297347228,-0.644441564
Abu Kamal,ASIA,-0.112467886,-0.68544537,-0.315527564,-0.498352109,-0.15508714,-0.14367315,-0.081435523,1.168753896,0.337790693,-0.613475389,0.513003027,0.935851392,-0.581348617,0.821135515,1.838004613,-0.016444355,0.920018859,-1.19326256,1.338162503,1.54118933,0.004493425,-1.249007038,-1.111970677,-0.86580493,0.570407909,-1.143748417,-0.92772702,-1.302103157,-0.542297788
Abuja,AFRICA,-0.09678715,0.38477849,0.091051245,0.760857394,-0.126655667,-0.00718766,0.372639514,1.107032164,0.28545477,-0.105561167,1.149754813,-0.076681833,0.806447738,-1.04265692,0.921508838,1.137226007,-0.877289953,0.712822612,0.937400979,0.967847452,1.200313483,0.589439903,0.965641239,-0.833975894,0.986765185,1.117782337,-0.836056925,-0.772763623,2.511594336
Acapulco,NORTH AMERICA,-0.103565985,0.251311334,-0.696073046,1.22052386,-0.038307905,-0.03900728,-0.034144219,-0.123549636,0.246498981,1.944365033,1.237207969,-0.643349596,1.577646196,-1.237451734,0.487302305,1.35143933,-1.340415437,1.103364966,0.992520637,0.841690454,1.290738721,0.485872019,1.108150296,-0.803435545,1.604233415,1.229164009,-0.833678461,1.364813846,-0.695349629
Acarau,SOUTH AMERICA,-0.130289884,-0.324891364,-0.788439742,-0.35835934,-0.163848557,-0.16205975,-0.126981818,-0.157261322,0.080634937,-0.529931874,1.324874881,-0.122396663,1.813480034,-1.281240296,0.801413646,1.40723744,-1.251673634,1.048440646,1.105865166,0.957118752,1.382753478,0.455993169,1.413151585,-0.80183633,1.625696226,1.344302255,-0.841410943,-1.135645636,0.407479516
Acarigua,SOUTH AMERICA,-0.117329061,0.819318303,0.217140798,-0.050806855,-0.107841094,-0.115798374,-0.119995393,-0.414542675,0.379136825,-0.558033899,1.222173362,-0.2446378,1.670040828,-1.28067755,0.683473183,1.354445476,-1.247785324,0.904402009,1.051082377,0.806087449,1.306283416,0.357643273,0.403535569,-0.400082319,0.229268391,0.413376962,-0.44152657,-0.808182514,1.566765629
Acatlan,NORTH AMERICA,-0.129739093,-0.672437547,1.552819033,-0.344610329,-0.162866029,-0.163322762,-0.135130399,-0.260620468,2.263220849,-0.086151891,0.897395441,2.258831277,1.346708163,-1.00451402,1.011885518,0.716862781,-0.341775701,0.674763354,0.641498457,0.541476516,0.982862517,-0.604056491,-0.345559767,-0.73786773,1.142314815,-0.353791065,-0.793457567,-0.469815553,-0.735560909
Accra,AFRICA,-0.008030687,0.539659693,-0.693167707,1.509627425,0.267703552,0.507431478,1.1748985,-0.219225161,0.114895507,1.175079088,1.264623799,-1.087639208,1.336027554,-1.143139588,0.585997805,1.459368505,-1.418166947,1.11413492,1.104215135,0.97034067,1.265765073,-0.060920116,0.217284889,-0.412073168,0.197062698,0.073468934,-0.220713228,-0.289243046,-0.066160153
Achinsk,ASIA,-0.100874586,0.876652645,-0.398959246,-0.047816763,-0.136886731,-0.147858559,-0.155788664,-0.787484709,-0.655401995,-0.605202894,-1.792055356,-0.752387613,-1.361216048,1.617312296,-1.113214971,-1.666748749,1.402115537,-0.417716788,-1.928913973,-1.294814839,-1.783015107,-0.798751172,-0.724415108,-0.513977631,-0.14846582,-0.720200066,-0.537612202,-0.355440119,-0.57195748
Acu,SOUTH AMERICA,-0.129794013,0.024340557,-0.609487252,0.224190415,-0.152431289,-0.159943095,-0.154717379,-0.236536895,0.6610901,-0.608501416,1.31807419,-0.578309777,1.663471869,-1.203937059,0.686910084,1.439298254,-1.345256683,1.200154051,1.085870219,0.986230698,1.324397726,-0.417413093,0.121201765,-0.792697959,1.313391109,0.031122023,-0.820859496,-0.480686248,-0.477416275
Ad Dakhla,AFRICA,-0.127905634,0.560561307,-0.580497584,0.320531548,-0.162158877,-0.142498279,-0.054345289,-1.061753604,-0.816627279,-0.581068488,0.474657211,-1.477320394,0.590592804,-1.015799702,-0.659848072,0.863642754,-1.332610895,0.360517504,0.502226954,-0.132937439,0.723815472,-1.374596789,-1.19264551,-0.86580493,1.412819226,-1.274897036,-0.908545669,-1.202228644,-0.710346782
Ad Damman,ASIA,-0.05709575,7.829806419,-0.783098638,0.822342774,0.160352106,0.13360183,0.024600392,-0.785204131,0.029420653,-0.619233297,1.163121215,0.139617423,-0.487001965,0.344818215,2.06807565,0.641731336,0.263656829,-0.230982917,1.51645653,2.126980608,0.607623181,-1.3325889,-1.15380577,-0.86580493,1.263109545,-1.17869646,-0.92772702,-1.306859086,-0.628172028
Ad Diwaniyah,ASIA,-0.119940991,1.271270011,-0.690006575,0.014269723,-0.098620566,-0.108188603,-0.118870153,0.795414999,-0.329174961,-0.109709489,0.869464814,1.510387867,-0.44720921,0.81820438,2.496008598,0.149529561,1.048554567,-1.037850245,1.599343268,2.100948644,0.23194899,-1.286454668,-1.146363632,-0.86580493,0.70238297,-1.165296528,-0.92772702,-1.306859086,-0.550731036
Ad Nabk,ASIA,-0.126796488,-0.612587064,0.678361797,-0.355518057,-0.154680684,-0.155993087,-0.131842002,-0.847525236,2.271241267,-0.526134516,-0.371839278,1.197485277,-0.22496284,0.375666024,0.273441478,-0.340387426,0.531777178,-2.136639696,0.650481156,-0.26947271,-0.375833717,-1.151048902,-1.010166722,-0.86580493,0.480305991,-1.030671173,-0.92772702,-1.306859086,-0.370156179
Adana,ASIA,-0.080710655,1.92229482,-0.011166563,0.974774548,0.122120672,0.086261205,-0.04301054,-0.375196099,-0.659968845,2.595604805,0.279013628,0.122235761,-0.413217915,0.273873821,0.607239494,0.120089981,0.157274272,-1.23263164,1.043241874,0.711711363,0.088485584,-0.403899626,-0.267585072,-0.623115895,0.220890129,-0.303023459,-0.614131513,-1.151349908,0.605847801
Adapazari,ASIA,-0.094850796,0.546170766,0.085683413,1.012601766,-0.06698361,-0.099053886,-0.182689347,0.205261188,-0.766066397,1.955822323,-0.25337149,-0.563948263,-0.527896706,0.118583611,-0.329554453,-0.029759741,-0.126737885,-1.58472737,0.606442035,-0.247039716,-0.183173413,-0.285831784,-0.459760548,0.518330014,-0.902431161,-0.484514647,0.38372603,-0.642111191,0.311102165
Addis Ababa,AFRICA,0.100812971,-0.667439149,2.526126137,0.001430094,0.52257515,0.990754506,2.294335221,1.665984715,0.016472513,0.214265011,0.116202758,1.283495174,1.590677431,-1.17564762,-0.663192481,0.374738361,-0.762934603,-0.36019316,0.219590976,-0.866055003,0.553599599,-0.0597305,0.446973874,-0.696487042,0.913347621,0.376261548,-0.632328739,-0.324101906,-0.557809423
Adelaide,AUSTRALIA,0.057955464,0.416488473,-0.607909091,1.228134056,0.064285057,0.047096952,-0.015908947,-0.908727468,-0.748461686,2.464677488,-0.022273331,-0.276535613,0.026144581,-0.431454224,-0.310709765,0.293833142,-0.495640687,-1.158542947,0.588417514,-0.404741112,0.165189215,-0.590068325,-0.662912045,-0.290493252,-0.464189617,-0.630771317,-0.274618259,-0.97696049,0.166235049
Aden,ASIA,-0.123893109,0.694939619,-0.77467064,0.042192326,-0.122617555,-0.141039039,-0.173810248,-1.056984914,0.61909723,-0.511191999,1.436499649,-1.337648895,0.075063681,-0.759295543,1.161793563,1.382629718,-1.046296443,0.845883315,1.378539163,1.60622425,1.250407164,-1.370248846,-1.257761625,-0.811736232,-0.668405864,-1.291009677,-0.847348028,-1.262243941,-0.736161245
Adi Ugri,AFRICA,-0.079618002,-0.784315797,1.758333084,-2.50570573,-0.145325016,-0.115521466,-0.000127215,0.960261667,2.075251417,-0.651983944,0.451644717,1.425153926,1.325941442,-1.025515865,0.126823402,0.567378246,-0.600861069,0.166727969,0.383920763,-0.162104006,0.707054402,-0.516620795,0.261744059,-0.79834785,1.942062734,0.03369939,-0.795600693,-0.650381174,-0.695267671
Adigrat,AFRICA,-0.124187627,-0.766915795,2.044788535,-1.331777255,-0.159663009,-0.140638928,-0.05484011,1.155205147,0.888607836,-0.607173193,-0.119999434,1.552135449,1.34091206,-1.029277536,-0.868778474,0.120719881,-0.566855457,-0.43558985,0.037776514,-1.128825732,0.322588657,-0.601681029,0.025544464,-0.71228029,1.497357644,-0.228470525,-0.687960139,-0.644833746,-0.674206533
Adiyaman,ASIA,-0.102985483,-0.278505021,0.350887617,0.80208987,-0.127352511,-0.132259027,-0.12380275,0.751352659,-0.065708471,0.532753446,0.0357333,0.264103697,-0.803420808,0.867803756,1.294700685,-0.200345482,0.868646659,-1.972488417,1.122105766,0.923625957,-0.285035331,-0.541755616,-0.365280281,-0.83382063,0.506236468,-0.401969851,-0.851001618,-1.246723004,0.473129632
Ado Ekiti,AFRICA,0.16721499,-0.76682237,-0.211686402,-0.707035842,0.140551934,0.289805109,0.710106058,1.388789983,1.31949927,-0.663979399,0.975709421,-0.596187422,1.10462338,-1.12466998,0.385256688,1.174757563,-1.183964107,0.524655218,0.882805861,0.576543355,1.087033161,0.563015686,0.642711256,-0.612057188,0.236133961,0.415167434,-0.468863804,-0.204785594,1.557877244
Adrar,AFRICA,-0.124277533,0.105310297,-0.415673095,-0.689897424,-0.1512834,-0.152400811,-0.12828383,-1.061753604,-0.816627279,-0.634231494,1.027548277,1.884104835,-0.386706012,0.764447366,2.807848462,0.177348793,1.168878049,0.841211468,1.522477494,2.422527437,0.390080314,-1.429653056,-1.297522792,-0.86580493,-0.375999313,-1.325025252,-0.92772702,-1.302103157,-0.781786808
Afyon,ASIA,-0.11330683,-0.088297793,1.232760128,0.637920715,-0.128979228,-0.144766288,-0.168514167,0.499702781,-0.225269579,1.07074801,-0.650395746,0.383562604,-0.553755274,0.502119174,-0.1556174,-0.506360407,0.515446048,-2.562636033,0.509792038,-0.547073267,-0.611468676,-0.713161575,-0.779186992,-0.481993331,-0.569788554,-0.806809899,-0.48849693,-0.98198383,-0.069887944
Agadez,AFRICA,-0.124268328,-0.701750278,0.038405288,-2.064196426,-0.165691721,-0.124529419,0.028488681,-1.061753604,-0.816627279,-0.578803696,1.418434894,1.433267936,0.172978626,-0.19613832,2.121431373,0.721697207,0.19636125,1.671282572,0.908222024,1.930776631,0.950520599,-1.279045376,-0.930348874,-0.86580493,2.797643756,-1.040162024,-0.92772702,-1.054672893,-0.794393872
Agadir,AFRICA,-0.099622781,1.324700363,-0.177553973,0.730241569,-0.042793028,-0.009967071,0.095847588,-0.508934493,-0.072942125,-0.623379999,0.28750811,-0.40689886,0.202078288,-0.642764054,-0.429191466,0.403574019,-0.681947411,-0.673712864,0.679728535,-0.098708074,0.433367381,-1.139291139,-0.923044887,-0.86444802,0.845771147,-0.972665666,-0.897501862,-1.287172422,-0.292352587
Agana,MICRONESIA,-0.119158422,0.225684164,-0.786620313,0.05805681,-0.145064009,-0.152970439,-0.150260436,-1.061753604,-0.816627279,-0.575403103,1.224214658,-1.947657115,1.556646116,-1.293743436,0.09810697,1.526207363,-1.735386727,1.044028495,0.987000769,0.764090142,1.303921939,1.842923287,1.506158142,1.525706868,-0.235265382,1.690500248,1.437744517,1.20121413,0.376262026
Agartala,ASIA,0.766141123,-0.685046679,-0.742730223,0.576514561,0.856067999,1.175017506,1.972338269,2.117937892,-0.653096173,-0.257801959,1.022433736,-0.336581617,-0.080254338,-0.49166509,0.514794272,0.592748756,-0.440364284,1.199177093,0.448922007,0.910887797,0.787196962,1.848333232,2.373903154,-0.698718123,0.748486781,2.338991698,-0.612526496,4.205565777,-0.656282184
Agboville,AFRICA,-0.125348275,-0.641248498,-0.723549526,0.316954619,-0.161581236,-0.155148348,-0.106610365,1.858289258,0.760637528,-0.534117882,1.237801598,-1.219649749,1.227056496,-1.157806021,0.497934506,1.434987073,-1.432835378,1.108149486,1.067437209,0.918754355,1.25596429,0.533544997,0.674739587,-0.476349042,-0.004458167,0.479221938,-0.025639392,0.182586024,0.410940279
Agen,EUROPE,-0.112674531,0.128682126,-0.612405543,0.371646444,-0.152242401,-0.158132534,-0.148097278,0.386097702,-0.618745994,0.207579679,-0.436646547,-0.289376411,-0.347049291,-0.04028383,-0.595447605,-0.11040231,-0.162815795,-1.451264989,0.485556099,-0.681483974,-0.235950829,-0.076833963,-0.589197761,0.949703895,-1.376523463,-0.534487619,0.860454374,-0.420116093,0.257665578
Agordat,AFRICA,-0.129246059,-0.785984879,0.395328506,-2.12392444,-0.16550373,-0.159391095,-0.111097835,-0.82060598,3.001919156,-0.599306021,1.470426867,1.480964012,1.051061369,-0.905414043,1.856838204,1.154840117,-0.439469957,1.250008587,0.985396783,1.570397332,1.332277294,-0.951467723,-0.40203215,-0.86580493,2.378346042,-0.513574754,-0.908545669,-1.05955077,-0.785989163
Agra,ASIA,0.654255881,-0.439734612,-0.499644542,0.619133613,1.16615114,1.088709183,0.645765161,2.387495363,-0.72955508,-0.571684028,1.064150496,1.130166528,-0.375448245,0.288648311,2.173382268,0.308236296,0.704977231,1.407521656,0.434693861,1.844541901,0.520786725,-0.285187561,0.785809108,-0.760799531,2.233518399,0.609130199,-0.672792965,0.044500535,-0.653235087
Agri,ASIA,-0.122855783,-0.495179984,2.739403197,0.598966078,-0.143405026,-0.152084746,-0.151985567,0.290962157,-0.595441084,0.739825816,-1.17448408,0.778337966,-0.915591884,1.267567492,-0.105048483,-1.343033882,1.517934955,-1.155610837,0.429659313,-0.821123793,-1.297819875,-0.696574462,-0.741291051,-0.258103231,-0.705976967,-0.776912784,-0.314428578,-1.002729932,-0.290774861
Agrinio,EUROPE,-0.121304151,-0.273730796,-0.171699377,0.578378981,-0.146244163,-0.15513161,-0.155137658,-0.796097307,-0.424950603,0.233844527,-0.032581627,0.459735095,-0.279432325,0.136987569,0.44306537,0.02385301,0.189271814,-1.03369464,0.815085123,0.141736413,-0.03029604,-0.204391561,-0.113531933,-0.418024731,0.131292388,-0.175141186,-0.467791595,-1.078781266,0.604807467
Agua Prieta,NORTH AMERICA,-0.120401933,-0.168283434,1.560733792,-0.132610074,-0.153623542,-0.147927292,-0.103033736,-0.832551799,1.741245977,1.152147381,0.075204976,2.904784609,0.195174417,0.288975949,1.005261465,-0.310326479,0.855312816,0.750373113,0.553389727,0.435012669,-0.03836262,-0.91394623,-0.602985824,-0.656453149,0.751912813,-0.699561829,-0.667906909,-0.445171193,-0.51283612
Aguascalientes,NORTH AMERICA,-0.099001892,0.240890511,2.320860179,1.249418412,-0.025864192,0.011820564,0.129075881,-0.008274942,-0.045187321,2.479182137,0.114810726,2.371582934,0.876497537,-0.686185906,0.047231486,0.027112608,-0.008534691,0.007605583,0.225907664,-0.503081666,0.325034725,-0.73355851,-0.339943729,-0.818977088,1.307691875,-0.375860635,-0.792662759,-0.30172893,-0.658037916
Ahar,ASIA,-0.126762241,-0.512433123,1.973421416,0.541373023,-0.149545323,-0.150526502,-0.126318033,0.285167669,0.427775557,-0.591903728,-0.684829747,0.33562765,-0.768164574,0.791900607,-0.030485621,-0.742423842,0.852627689,-1.373887287,0.589976881,-0.358352093,-0.76101507,-0.974183073,-0.878013662,-0.64191483,-0.300764218,-0.930735502,-0.640006763,-1.083330415,-0.525443184
Ahmadabad,ASIA,1.337891834,-0.412283722,-0.681917961,0.677657845,2.2896884,2.796770706,3.89585953,2.520243126,-0.73078775,-0.357877351,1.249659927,1.085793688,-0.038789242,-0.327147391,2.006034478,0.628361987,0.248873487,1.259982145,0.955306298,1.705071738,0.907773127,-0.336846866,0.925115388,-0.84312732,2.707088958,0.631670531,-0.891123834,-0.878405821,-0.772315642
Ahmednagar,ASIA,-0.104951976,-0.451152526,0.196529344,0.277372226,-0.10274091,-0.089455489,-0.031127725,1.760867445,-0.814419469,-0.48590909,1.042961263,1.112638574,0.257077737,-0.622223738,1.621258059,0.705106196,-0.029385188,0.765237037,0.783796611,1.189130456,0.944860378,-0.693779648,-0.201958565,-0.83382063,1.197227455,-0.437191885,-0.879773644,-0.773973076,-0.640783807
Ahwaz,ASIA,-0.079772719,3.162521905,-0.751753122,0.404690493,0.042953106,0.071782946,0.15010047,0.091646192,-0.785657853,0.574797648,1.043584102,1.457796005,-0.466933017,0.865494364,2.862366547,0.301708209,1.050275566,-0.791317797,1.740385471,2.453296415,0.335015206,-1.069812633,-0.817824798,-0.86580493,1.33121493,-0.857783811,-0.92772702,-1.306859086,-0.138259959
