City,Region,tif_count,Longitude,Latitude,tif_count,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter,Cluster,PC1,PC2,Baseline_Stability,Stability
Abau,MELANESIA,1.0,148.5583333,-10.04166667,1.0,25.46249962,7.808333397,66.73789215,113.5806656,31.60000038,19.89999962,11.70000076,25.96666718,25.88333321,26.66666603,23.86666679,2038.0,233.0,112.0,19.26593972,643.0000001,424.0,563.9999996,453.0000004,G,4.1784113619110625,3.602376801061234,0.9870725388601025,0.9815886939675287
Abaza,ASIA,19.0,90.09035088,52.65263158,19.0,0.943859636,11.88859653,25.67117872,1261.51008,24.23157883,-22.07894757,46.31052599,16.00701759,-12.63157885,16.00701759,-15.11052644,509.4210526,84.21052632,11.63157894,56.63335941,227.3684211,44.26315789,227.3684211,60.26315789,A,-4.929105930219481,0.4481601660727856,0.9989528795811529,0.9895967768611041
Abbottabad,ASIA,759.5490645,73.08325142,34.07186539,759.5490645,19.1209316,12.892232,38.33179644,733.4126107,35.89899239,2.270179212,33.62881333,25.98451434,15.04198577,27.39540098,9.515235867,1159.793359,245.889049,21.17044399,76.1253811,580.5017652,94.89963174,560.2369912,207.0637889,D,0.8188663608911271,-0.5836767048878204,0.12758865248226947,0.11844517228997872
Abeche,AFRICA,14.0,20.82916667,13.83869048,14.0,28.84107154,15.15714264,60.09622983,272.5463518,40.79999924,15.57857159,25.22142751,28.20238113,27.21785709,32.49166679,25.60714258,376.8571429,158.9285714,0.0,159.088271,323.0,0.0,46.0,0.0,E,2.4090330221435474,-4.6604932323577914,0.6030216802168021,0.6382580632144835
Fada,AFRICA,1.0,21.58333333,17.19166667,1.0,27.24166679,15.51666641,55.02363968,448.3648682,39.70000076,11.5,28.20000076,30.48333359,22.61666679,31.85000038,20.96666718,63.0,36.0,0.0,169.8940887,57.0,0.0,20.0,0.0,E,1.2152124550383647,-5.068120166930494,0.6030216802168021,0.5796634259774585
Abengourou,AFRICA,48.0,-3.494444444,6.7375,48.0,26.44218743,8.460069517,70.2203474,116.3184013,33.0937504,21.04583343,12.04791697,26.94097201,26.99652791,27.86944469,24.88124994,1240.583333,206.0,8.395833333,60.44920238,515.3125,76.47916667,317.3958333,314.3125,F,3.372333807837637,-0.608182161085573,0.9490130505709612,0.9366761845751677
Abeokuta,AFRICA,288.0,3.329311343,7.125028935,288.0,26.80515042,8.733391179,70.73520141,132.4585168,33.96319458,21.61701384,12.34618074,26.09282412,27.64890053,28.43391195,25.08622685,1249.704861,204.7916667,12.21875,64.13919388,540.2430556,54.65277778,253.7256944,415.9201389,F,3.4746736492542465,-0.7376216358083346,0.9490130505709612,0.9392041225186532
Aberdeen1,NORTH AMERICA,39.0,-98.48098291,45.46837607,39.0,6.524893186,13.04722224,27.44420859,1243.766946,29.81025598,-17.73076952,47.54102501,18.80726467,-9.514529864,21.18418782,-9.514529864,512.1282051,86.69230769,10.0,59.43212988,226.974359,34.05128205,218.7179487,34.05128205,A,-3.959464085000308,-0.6193291609594122,0.9989528795811529,0.9904171425691761
Aberdeen2,NORTH AMERICA,49.99999998,-123.8421667,46.97866667,49.99999998,10.40400003,8.600666704,43.93006203,428.0414325,21.66599998,2.093999987,19.57200016,5.822333345,15.57366673,15.85766661,5.429000034,2272.86,361.14,42.16,62.67596039,1030.06,160.46,182.72,979.5,B,0.8513814848456701,3.7657950003473823,0.7018229166666673,0.692670936370944
Aberdeen3,EUROPE,162.0,-2.139763375,57.15889918,162.0,8.105504112,7.380761332,38.38972873,443.8447102,18.87839508,-0.351234572,19.22962946,5.679732493,8.052777757,13.78199586,2.916563814,779.925926,81.18518519,52.48148148,16.9135924,235.1975309,160.617284,180.4444444,204.0493827,B,-2.078658380827441,2.6895321540501556,0.7018229166666673,0.7293318994936808
Abha,ASIA,43.99999999,42.50435606,18.22140152,43.99999999,20.30492418,13.90378789,55.50844453,421.0770465,32.35454546,7.306818225,25.04772741,20.58863657,20.29659093,25.28446986,15.05,250.3409091,49.52272727,5.931818182,75.03246793,131.8863636,24.75,65.22727273,28.47727273,C,-0.05867903547479008,-2.4699302517138144,0.8138586437440313,0.8188830997894337
Colinas,SOUTH AMERICA,2.0,-44.25416667,-6.025,2.0,26.48958302,11.1624999,69.11775589,109.5852699,34.79999924,18.65000057,16.14999866,25.78333282,25.88333321,28.11666679,25.52499962,1262.5,257.5,7.0,82.57538986,647.5,36.5,182.0,88.99999999,F,3.1860995838435344,-1.6600634769242109,0.9490130505709612,0.9390275433543781
Abidjan,AFRICA,552.0,-4.024486715,5.379181763,552.0,26.46927844,6.503170244,64.83307534,122.1082659,31.59365931,21.5677537,10.02590561,27.09100234,27.10166067,27.70908818,24.69743356,1707.025362,440.1630435,21.67753623,80.06699929,857.9076087,145.3949275,327.7101449,269.990942,F,4.338406879329834,0.5820503273498577,0.9490130505709612,0.932148162275436
Abilene,NORTH AMERICA,138.0,-99.76521739,32.43967391,138.0,18.11488529,13.7429347,38.68482247,804.8103032,35.17101443,-0.354347833,35.52536273,23.79323683,7.903381704,27.76111098,7.903381704,616.5652174,84.35507246,24.06521739,40.682627,216.5507246,84.08695652,186.4565217,84.08695652,C,-0.8861951946257546,-1.3352077294503493,0.8138586437440313,0.8194399416751238
Abohar,ASIA,1250.599139,74.33190576,30.33160458,1250.599139,24.46003353,14.12395519,39.81678596,766.5247113,41.04890167,5.576884864,35.47201698,30.86458816,19.45378533,32.74884723,14.19441749,356.9533602,100.131551,2.702542575,120.5687487,270.3097324,17.34588341,127.5178276,26.26124751,E,0.5728538866406884,-3.8629145094677884,0.6030216802168021,0.5786610713127971
Abomey,AFRICA,1421.624684,1.891247567,6.871754027,1421.624684,27.07018469,8.943979246,70.62063007,130.1324952,34.29059799,21.62490696,12.66569104,27.19811857,27.55939793,28.62829034,25.38514554,1006.455453,162.7072021,5.134210937,63.61432702,430.717193,46.01761467,234.4837169,300.8474653,F,3.163815757672947,-1.2897212638938844,0.9490130505709612,0.9399570212770504
Abong Mbang,AFRICA,2.0,13.17083333,3.991666667,2.0,23.71250057,10.20000029,71.83098602,77.7841568,31.0,16.79999924,14.20000076,23.24166679,23.625,24.86666679,23.04166603,1604.5,298.0,21.0,63.28079605,661.5,90.0,310.5,467.5,F,3.2861928060887133,0.291920157733523,0.9490130505709612,0.9385025611455672
Abra Pampa,SOUTH AMERICA,6.0,-65.70138889,-22.71805556,6.0,10.81875006,17.02361107,62.24365362,356.5093486,22.06666692,-5.283333301,27.35000006,14.24999984,6.083333333,14.31388903,5.916666508,220.1666667,58.16666666,0.0,114.5883115,155.5,1.0,124.1666667,2.0,C,-2.049692954360922,-1.7092998132093944,0.8138586437440313,0.8149252290496763
Abu Dhabi,ASIA,109.9999999,54.40727273,24.44878788,109.9999999,27.46071961,10.37356055,40.12960985,591.957049,40.17999996,14.34636364,25.83363632,20.48454543,30.20696976,34.17469694,19.87621202,62.93636364,22.11818182,0.0,114.7994979,45.96363636,1.0,2.0,35.7,E,0.8694507625698533,-3.960583127638385,0.6030216802168021,0.5777720126614199
Al Ahmadi,ASIA,18.0,48.06574074,29.09490741,18.0,25.77731482,15.42685196,39.07099957,919.3195021,46.11666595,6.633333259,39.48333232,15.79166677,36.66574139,36.66574139,14.05185186,105.6111111,22.22222222,0.0,92.05088636,62.55555556,0.0,0.0,59.22222222,E,0.0752450196384199,-4.698523297211297,0.6030216802168021,0.569898462152363
Abu Kamal,ASIA,93.0,40.91550179,34.50134409,93.0,20.72141569,13.13225803,35.37751495,913.8507179,39.90430106,2.786021486,37.11827986,10.95197134,30.91756253,31.40896047,9.129032279,133.6021505,26.01075269,0.0,80.2036625,64.23655914,0.0,1.0,58.64516129,C,-0.9876261172489412,-3.3955015143060083,0.8138586437440313,0.818553618992527
Abuja,AFRICA,206.0,7.480218447,9.067354369,206.0,26.29648058,10.70663424,62.19709107,158.5707152,35.17038836,17.95533992,17.21504844,24.77451458,25.94223302,28.57524267,24.77451458,1369.354369,283.2912621,0.927184466,94.73461684,785.4660194,9.325242719,111.2572816,785.4660194,F,3.593554281600641,-1.0993792402740659,0.9490130505709612,0.93818918090972
Acapulco,NORTH AMERICA,159.0,-99.84281971,16.88710692,159.0,27.20733752,9.020545066,76.72103599,80.51288569,32.82389942,21.04905662,11.7748428,27.76215931,26.68710692,28.08396233,26.09696019,1289.320755,299.0691824,1.943396226,116.1317958,816.5220126,9.610062893,563.3018868,22.89937107,F,4.076937133896539,-1.3428654345466224,0.9490130505709612,0.9380561795193599
Acarau,SOUTH AMERICA,4.0,-40.12291667,-2.877083333,4.0,27.6520834,10.57083344,80.84949493,63.63432503,34.42500019,21.34999943,13.07500076,27.02083302,27.93749952,28.4124999,26.98333359,1308.25,343.25,2.75,115.5675831,872.25,10.75,39.5,516.7500006,F,4.310464724922673,-1.6057067478392408,0.9490130505709612,0.9378649773181992
Acarigua,SOUTH AMERICA,82.0,-69.21199187,9.569308943,82.0,26.78953241,10.2099592,78.62174132,62.36005365,33.70975592,20.72317079,12.98658513,26.17235775,27.21768275,27.61016276,26.01585363,1174.243902,219.8658537,12.95121951,69.08224952,547.304878,54.62195123,107.0487805,533.6951219,F,3.55530711052543,-0.9601109451665136,0.9490130505709612,0.9390946963071436
Acatlan,NORTH AMERICA,6.999999998,-98.0547619,18.20595238,6.999999998,24.31607165,17.03690502,72.19069127,178.990315,35.97142901,12.37142835,23.60000093,24.69047628,22.04523822,26.54761887,22.04523822,606.1428571,128.5714286,3.714285713,99.52680206,335.2857143,14.0,188.0,14.0,E,1.700383319708052,-3.1883078072854265,0.6030216802168021,0.642486451579971
Ad Diwaniyah,ASIA,57.0,44.92207602,31.99327485,57.0,23.76038006,14.61257305,37.82774848,915.9921993,43.59122795,4.96315793,38.62806949,12.05584802,34.42017605,34.42017605,12.05584802,111.4912281,22.22807017,0.0,85.16906979,59.19298245,0.0,0.0,59.19298245,C,-0.4264805818122672,-4.136918958726432,0.8138586437440313,0.8205683889972942
Ad Nabk,ASIA,21.0,36.72777778,34.03253968,21.0,13.56071436,13.95000008,42.05419559,744.0992606,31.87142808,-1.29999997,33.1714285,4.402381011,22.36825389,22.36825389,4.402381011,187.952381,36.47619048,0.0,76.75787245,93.85714287,0.0,0.0,93.85714287,C,-2.0989443937810286,-2.0966453669303786,0.8138586437440313,0.8224784264895934
Al Wajh,ASIA,9.999999972,36.45333333,26.25,9.999999972,24.84708309,10.87416677,50.24678459,411.6074005,34.85000038,13.21000004,21.64000015,23.6083334,29.25166664,29.37666645,19.44499989,23.0,7.0,0.0,81.99732971,15.0,0.0,0.0,11.0,E,0.625580130534664,-3.2418589848325703,0.6030216802168021,0.5757472494935323
Accra,AFRICA,744.9999999,-0.179944072,5.645234899,744.9999999,27.15471475,8.007863538,71.97305008,118.5882159,33.21248319,22.08791963,11.12456357,27.52519022,27.92210284,28.48404931,25.4921029,933.9892617,190.8174497,13.97181208,67.91888243,453.5409396,73.10067114,213.3946309,172.9181208,F,3.239275542041064,-1.0917363474498623,0.9490130505709612,0.9395323406316238
Achinsk,ASIA,102.0,90.47426471,56.26405229,102.0,1.326879093,8.909967338,20.72925719,1247.138608,24.15490207,-18.82745107,42.98235317,16.77565363,-11.94166666,16.77565363,-13.97058819,437.9019608,73.70588235,11.21568627,55.55439126,199.5882353,41.37254902,199.5882353,53.03921569,A,-4.773993137834137,0.6397100510327853,0.9989528795811529,0.9900302512182286
Acu,SOUTH AMERICA,7.000000001,-36.91428571,-5.575,7.000000001,27.61249978,9.413095338,78.34939575,93.63046701,33.84285791,21.82857105,12.01428686,28.13809531,27.90238108,28.56190463,26.25714275,716.1428571,184.1428571,3.0,105.185863,449.5714286,12.0,165.1428571,77.42857142,F,3.2260149871736576,-2.3249862362956706,0.9490130505709612,0.9372489339755266
Ad Dakhla,AFRICA,14.0,-15.94464286,23.70357143,14.0,20.44613075,7.051785707,58.03541265,170.9538879,26.40714305,14.25714288,12.15000016,21.3309521,20.00357137,22.68095262,18.45833329,47.00000001,15.78571429,0.0,111.6788183,21.78571429,2.0,20.57142857,18.85714286,C,0.36845711654606383,-1.9625773451050617,0.8138586437440313,0.8195959695935738
Ad Damman,ASIA,402.0,50.10762852,26.39351161,402.0,26.28225538,11.17375626,37.29310942,724.1025284,41.33457728,11.37636818,29.95820913,17.856675,33.46770315,34.58412112,16.93992537,78.8482587,20.91542289,0.0,103.5905848,53.69402985,0.0,0.0,39.64676617,E,0.44976609175615206,-3.9769438283242406,0.6030216802168021,0.5828067160644079
Apalachicola,NORTH AMERICA,5.999999991,-85.0,29.72916667,5.999999991,20.34236113,9.68194453,38.90771802,591.7274882,31.79999924,6.916666746,24.88333289,27.08611075,23.14444415,27.19722207,12.81944466,1486.666667,205.1666667,75.0,35.18881035,570.8333333,278.5,520.5,315.0,D,1.7104673673398996,1.8652208887927646,0.7767943262411352,0.6373525495546793
Adana,ASIA,245.0,35.32170068,37.0064966,245.0,18.83352044,11.23363949,38.84658094,697.9366525,33.46979577,4.55428571,28.91551004,10.31802724,27.21027201,27.21027201,10.24523813,704.0040816,129.8408163,7.889795917,67.83787541,331.7428571,33.62448979,33.62448979,331.7428571,C,-0.2038439368801449,-1.323498690486548,0.8138586437440313,0.8163747419178002
Adapazari,ASIA,167.0,30.38877246,40.7500499,167.0,14.39673156,9.416916145,36.62383222,633.8106039,28.43173645,2.717365283,25.71437128,8.287225566,21.63802395,22.25548904,6.83353295,789.3592814,107.7065868,44.09580838,30.11041033,277.2155689,138.8443114,141.5508982,264.8862275,B,-0.898230198256495,0.8968756528056232,0.7018229166666673,0.7296136076542237
Addis Ababa,AFRICA,1399.0,39.02709078,8.713908744,1399.0,17.40356505,14.2211401,76.86338815,105.5278899,26.36233024,7.871908534,18.49042174,16.9608411,16.27541101,18.8133905,16.266345,935.0114367,219.1915654,5.318799142,92.098877,549.691208,30.78341673,206.9606862,62.0986419,F,0.9965972944458126,-0.968983186785581,0.9490130505709612,0.8557941406344095
Adelaide,AUSTRALIA,938.9999996,138.5916312,-34.907011,938.9999996,16.30424208,10.16144834,47.20663493,408.6401131,28.35899894,6.848562294,21.51043658,11.2962371,21.21640041,21.33274759,11.2962371,556.2854099,77.59424919,17.8370607,44.38726625,217.8743344,66.72417465,68.12992545,217.8743344,C,-0.5061350231136257,-0.3168128673119485,0.13298949379178604,0.46983200531969316
Aden,ASIA,35.99999998,45.01527778,12.80092593,35.99999998,28.64224556,7.180786901,47.61365668,272.2618646,36.28055562,21.19999981,15.08055581,25.88333321,31.27777778,31.83611107,25.34907405,52.16666666,8.111111111,1.555555556,37.81852839,18.13888889,8.027777777,9.222222222,14.16666667,E,1.5524674660810924,-2.6732217243064986,0.6030216802168021,0.6216068082374414
Agordat,AFRICA,10.0,37.87666667,15.54833333,10.0,28.96416664,14.79833317,66.56949005,216.4639206,40.35000038,18.12000046,22.22999992,28.5283329,26.41666641,31.72666664,26.41666641,331.3,112.5,0.0,141.7358612,262.6,2.0,51.4,2.0,E,2.4601911442271085,-4.487819875376685,0.6030216802168021,0.6371598287251756
Agra,ASIA,4265.955724,78.14190074,27.17592647,4265.955724,25.42563961,13.79712455,39.48254928,701.1519853,41.91470189,6.969771123,34.9449308,29.60852694,19.15762831,33.07576914,15.79822669,784.2932758,261.1620558,3.284461225,137.0087867,624.5436218,26.63084075,284.5496139,33.6197511,E,1.655018451194551,-3.2819502018300177,0.6030216802168021,0.6289868947812598
Ambatondrazaka,AFRICA,12.0,48.41527778,-17.82291667,12.0,21.16423607,12.54652762,67.36500486,245.804587,29.76666657,11.14166681,18.62499984,23.63888915,17.91111104,23.63888915,17.91111104,1083.583333,263.0,5.25,109.512289,690.9166667,21.83333333,690.9166667,23.41666667,F,2.182453149971795,-0.9209424896982916,0.9490130505709612,0.9388256571773158
Adi Ugri,AFRICA,302.9569378,38.81489171,14.87416568,302.9569378,20.0834548,14.75126222,71.89344076,165.9878412,30.65100121,10.13337961,20.51762159,20.576728,18.27162095,22.34523573,18.08743136,632.373285,200.3510218,1.346583909,128.9653685,448.4960719,10.9421545,140.668558,21.31169054,E,1.2446510850075163,-2.3965156632943,0.6030216802168021,0.6392987005112529
Adigrat,AFRICA,40.00000001,39.47854167,14.26166667,40.00000001,15.93562498,14.88958333,71.70593452,170.8112667,25.74749985,4.982500004,20.76499982,17.01666651,14.40500002,17.9933332,13.74833329,566.625,162.6,6.324999995,109.3211512,347.875,29.37499999,136.45,32.92499999,C,0.11194529896948734,-1.4940301815123986,0.8138586437440313,0.8169272971234082
Adiyaman,ASIA,135.0,38.26777778,37.7604321,135.0,16.96271606,11.57160497,31.40801962,936.2780518,37.39999997,0.565925928,36.83407392,5.649876545,28.43975307,28.51086419,5.649876545,622.0740741,123.3259259,1.0,79.42596396,311.9925926,8.0,12.34074074,311.9925926,C,-0.9864575122800895,-1.9247794303703134,0.8138586437440313,0.8211801726473293
Ado Ekiti,AFRICA,1804.388462,5.114623884,7.711366021,1804.388462,24.68739043,9.313929188,67.65057873,126.0604754,32.10725696,18.33385916,13.7733978,23.27724329,24.99348375,26.39667301,23.1641807,1356.217078,243.4951538,7.971843933,68.98222866,562.3748202,47.97539316,232.2716993,559.7085032,F,3.109248267244969,-0.3607673318548481,0.9490130505709612,0.9374840446940803
Adrar,AFRICA,36.0,-0.29375,27.87060185,36.0,25.18865723,15.68055558,39.13518079,895.2202674,45.46111128,5.394444492,40.0666666,24.03657404,33.38055531,36.20740753,14.17037037,13.13888889,3.0,0.0,48.23584207,7.25,0.0,1.0,3.25,E,-0.11770325375926144,-4.495825670687069,0.6030216802168021,0.5757217139020099
Agri,ASIA,38.00000001,43.03991228,39.72587719,38.00000001,6.355592138,12.83925435,29.22379233,1097.82526,29.21578939,-14.71842106,43.93421063,11.05394744,18.94078962,18.94078962,-7.806578862,511.4736842,72.26315789,19.0,36.88511407,183.6578947,64.65789473,64.65789473,120.4210526,A,-3.5125520649578594,-0.2951480801258639,0.9989528795811529,0.989961875485106
Bossembele,AFRICA,5.000000001,17.64,5.27,5.000000001,24.44833336,11.91333313,67.61278229,109.7176071,33.63999939,16.02000008,17.61999931,23.41333351,24.54666672,26.05,23.41333351,1490.6,256.6,11.0,70.48975525,691.2,51.0,217.6,691.2,F,3.2196417265308552,-0.4438286880367684,0.9490130505709612,0.9387149089990408
Afyon,ASIA,84.00000001,30.5594246,38.76170635,84.00000001,10.9791666,11.83988098,35.88874404,792.5978641,29.33809523,-3.64999999,32.98809492,1.200595251,20.25158725,20.66726171,1.200595251,493.4642857,67.25,11.91666667,41.71586114,172.2619048,45.5,67.73809524,172.2619048,C,-2.4265758668905275,-0.430918225272627,0.13298949379178604,0.4988520444005681
Agadez,AFRICA,39.0,7.985470085,16.98760684,39.0,28.43931643,14.59871784,49.87295796,505.0126014,41.63846099,12.36666648,29.27179483,31.51196612,25.29572658,33.54700842,21.36666645,113.7948718,48.51282051,0.0,157.4200803,98.10256411,0.0,53.02564103,0.0,E,1.4413017507171977,-5.010354618835413,0.6030216802168021,0.5959661362979998
Agadir,AFRICA,161.0,-9.552846791,30.39648033,161.0,18.96705488,9.747877926,50.74293236,318.230747,27.59627326,8.399378895,19.19689437,14.85703932,22.38509313,22.90942024,14.85703932,204.5341615,49.13043478,0.093167702,91.09188066,118.8198758,2.832298137,3.714285715,118.8198758,C,-0.2496316972616379,-1.7776377277671747,0.8138586437440313,0.8191682800915709
Agana,MICRONESIA,67.99999994,144.7887255,13.4879902,67.99999994,26.86997554,5.805637163,76.39009801,57.12820721,30.60294132,23.00294138,7.599999933,27.08063729,26.43750006,27.45220588,26.04999988,2229.970588,351.2794118,74.17647059,52.8328959,972.1176471,246.7794118,535.9558823,278.9558824,G,5.017197835680022,2.461364678168472,0.9870725388601025,0.980479537274764
Agartala,ASIA,5002.963516,91.18710931,24.0508473,5002.963516,25.08349396,9.990404428,45.14004254,383.8797453,32.81155563,10.68788744,22.12366819,28.12562229,19.26785768,28.16315562,19.26785768,2217.045039,457.5587158,5.192594198,86.49205283,1174.373664,32.76336677,1160.593296,32.76336677,F,3.753107733235815,0.5863194899380813,0.9490130505709612,0.9298491465400596
Agboville,AFRICA,34.0,-4.21127451,5.93872549,34.0,26.95281848,7.680146891,69.91193525,112.8673868,32.76176453,21.77647052,10.98529401,27.50931364,27.46911778,28.23578425,25.38382356,1349.882353,248.7058824,11.88235294,60.83389237,589.5588235,94.05882353,317.2058823,286.8823529,F,3.6734616503097217,-0.3270746282508559,0.9490130505709612,0.9394343190481032
Agen,EUROPE,80.0,0.6290625,44.19947917,80.0,12.78166659,10.11708331,39.95900755,569.9448524,26.87249999,1.553750017,25.31874971,8.036458367,19.90375004,19.90375004,6.064166683,917.55,90.3625,56.275,14.12204189,257.575,184.825,184.825,248.0625,B,-1.072521604150174,1.615107118693407,0.7018229166666673,0.734176097038602
Agrinio,EUROPE,46.0,21.39728261,38.62952899,46.0,16.22853261,12.21503621,41.47929706,643.2121263,32.7173913,3.26956522,29.44782618,12.85326077,24.28405766,24.28405766,8.747101453,840.2173913,150.4565217,13.93478261,65.60868189,375.2826087,47.54347826,47.54347826,333.3913044,C,-0.30180358988305817,-0.9392816406722462,0.8138586437440313,0.8220122434628703
Agua Prieta,NORTH AMERICA,55.0,-109.5469697,31.33636364,55.0,17.03053034,18.30166657,50.20021328,701.0601563,35.41090906,-1.04545455,36.45636361,24.91969684,19.941515,25.65848482,8.572727238,362.1818182,88.8,6.727272727,85.68040952,206.8,27.6,180.9818182,66.98181818,C,-0.6257539327286911,-2.934758532154195,0.8138586437440313,0.8178888394511616
Aguascalientes,NORTH AMERICA,181.0,-102.2987569,21.90529466,181.0,17.43381669,17.03006441,63.30776929,305.4941561,30.27348066,3.372375675,26.90110496,19.67246775,16.38646407,20.77366478,13.32974215,474.2651934,120.5248619,1.193370166,105.9024441,305.801105,13.53038674,207.9723757,32.0,C,-0.03799766894519887,-2.3607543833794042,0.8138586437440313,0.8248275334299886
Ahar,ASIA,20.0,47.06458333,38.48333333,20.0,10.73458343,11.79666657,32.24879265,903.0530243,29.93999977,-6.639999962,36.57999992,9.867499924,21.25833311,21.60999994,-0.615833327,336.8,56.95,8.299999999,49.95005226,138.9,32.55,51.65,67.3,C,-2.6193382648030554,-1.0470878218976345,0.8138586437440313,0.6903249923852532
Ahmadabad,ASIA,8259.250416,72.70438733,22.96249302,8259.250416,27.0105669,13.68039477,45.89430661,450.3421441,40.9929805,11.17922937,29.81375097,28.55480166,25.95395228,32.34229824,20.83151065,749.3036488,278.5996399,0.718467137,153.2105823,631.7215126,3.836032285,90.19487979,5.259823195,E,2.2945294171203874,-3.8140430472193545,0.5944037940379403,0.6099289975192619
