City,Region,Longitude,Latitude,tif_count_2000,tif_count_2021,Area,Brightness,Elevation,Human Modification,2000 Population,2021 Population,Population Change,Crop Land,Grazing Land,Road Density,BIO1 Annual Mean Temp,BIO2 Mean Diurnal Range,BIO3 Isothermality,BIO4 Temp Seasonality,BIO5 Max Temp Warmest Month,BIO6 Min Temp Coldest Month,BIO7 Temperature Range,BIO8 Mean Temp Wettest Quarter,BIO9 Mean Temp Driest Quarter,BIO10 Mean Temp Warmest Quarter,BIO11 Mean Temp Coldest Quarter,BIO12 Annual Precipitation,BIO13 Precipitation Wettest Month,BIO14 Precipitation Driest Month,BIO15 Precipitation Seasonality,BIO16 Precipitation Wettest Quarter,BIO17 Precipitation Driest Quarter,BIO18 Precipitation Warmest Quarter,BIO19 Precipitation Coldest Quarter,Cluster,PC1,PC2,Baseline_Stability,Stability
Abbottabad,ASIA,73.08325142,34.07186539,759.5490645,759.5490645,789.0584068,0.149524184,1582.6627,0.769117626,714326.4185,1471902.634,757576.2157,0.513367811,0.003162841,1024.866128,18.88536901,12.7765529,38.25294867,729.5774041,35.55046879,2.152971224,33.39749765,25.72836027,14.86846971,27.12753289,9.331190112,1160.59667,244.0198068,21.12193594,75.42643946,577.4561638,95.30012147,557.4816411,207.9625583,H,1.0116401638129182,0.9545016848762158,0.09006315789473689,0.0845483429210741
Abeche,AFRICA,20.82916667,13.83869048,14.0,14.0,12.40775034,0.06276415,482.531,0.628842156,150562.9999,192872.9998,42309.99986,0.082810974,0.746831705,237.5714287,28.75940541,15.25266702,60.18543189,271.5838296,40.77478681,15.43207128,25.34271567,28.11630998,27.13766657,32.39782143,25.53571415,374.0714286,157.7857143,0.0,159.4453539,321.0,0.0,45.64285714,0.0,F,2.735647338283801,4.790944836300412,0.8521077283372361,0.8479019681143355
Abengourou,AFRICA,-3.494444444,6.7375,48.0,48.0,41.59365297,0.193210851,163.171,0.813753159,21076.99998,112795.9999,91718.99997,0.523156755,0.271336963,1322.083333,26.3741022,8.366084814,70.08932654,116.314414,32.9483134,21.01197946,11.93633393,26.88004565,26.91001745,27.79720155,24.81264941,1234.354167,206.5,8.520833333,60.48303564,512.6458333,76.375,313.4166667,314.7291667,J,3.708208992610314,0.6026674145884258,0.8453701380175664,0.817342344512733
Abeokuta,AFRICA,3.329311343,7.125028935,288.0,288.0,249.7672128,0.115957527,170.2160083,0.77708105,443325.9999,521008.9996,77682.99974,0.324169481,0.387924102,506.3229165,26.74567033,8.694709543,70.51105682,133.055632,33.90855571,21.57656593,12.33198977,26.02989766,27.59661978,28.38225809,25.0200429,1249.086806,204.8784722,12.06597222,64.20608817,539.9618056,54.53125,253.3680556,416.4652778,J,3.732723273308926,0.7234159111348387,0.8453701380175664,0.8109269748255865
Aberdeen1,NORTH AMERICA,-98.48098291,45.46837607,39.0,39.0,47.85274703,1.447928876,418.723,0.751834091,20789.99999,23705.99999,2916.000002,0.265318816,0.090957018,3414.102563,6.478341885,13.07573047,27.53029931,1242.538834,29.72223018,-17.77374356,47.4959754,18.75215364,-9.553713799,21.11393635,-9.553713799,510.6153846,86.87179487,10.0,59.63583022,226.7435897,34.0,218.6153846,34.0,A,-3.8531246651387905,0.8393459564632799,0.9997553017944533,0.9991381675338009
Aberdeen2,NORTH AMERICA,-123.8412541,46.97854785,48.99999997,52.0,65.58285941,0.797398368,188.9098941,0.698005078,24470.99997,28255.99997,3784.999999,0.000457309,0.017631752,3994.019231,10.2494852,8.733013923,44.44760572,425.9462327,21.57522576,1.931416931,19.6438084,5.701482736,15.38839547,15.68592306,5.313174394,2292.961538,364.8076923,41.96153846,62.86142804,1041.057692,161.4038462,183.4038462,989.5384615,C,0.5658908752798739,-4.019941199852512,0.7423134328358203,0.7047103180484746
Aberdeen3,EUROPE,-2.139366053,57.15884458,163.0,163.0,258.6246378,2.604948679,105.735,0.767897508,200299.9999,211511.9999,11212.00002,0.055461867,0.0489936,5593.460122,7.985531169,7.362324908,38.49716243,441.7983466,18.68969848,-0.437536896,19.12723572,5.527853928,9.104370142,13.63031991,2.820977391,789.0429448,82.36196319,53.0797546,17.09769653,238.3312883,162.2208589,181.4662577,206.5889571,C,-2.317593767805007,-2.87317527496615,0.8620708955223876,0.8665279286613685
Abha,ASIA,42.50435606,18.22140152,43.99999999,43.99999999,39.86252173,3.675895855,1671.203,0.563656315,187285.0,138213.9999,-49071.00003,0.239941783,0.278471772,294.3863636,20.2523225,13.90011159,55.49580002,420.4309741,32.30993132,7.264022663,25.04590897,20.53141611,19.22838939,25.22295007,15.00846603,251.5681819,49.68181818,6.0,74.94346012,132.0909091,24.68181818,65.77272729,28.68181818,F,-0.06595134161915571,2.672794337803874,0.871405152224824,0.8516722099019177
Abidjan,AFRICA,-4.024012567,5.378067026,557.0,557.0,481.4470103,1.627864368,50.63654847,0.850454321,2876945.0,5485329.999,2608385.0,0.152468044,0.091117645,2280.615799,26.45424866,6.490712137,64.88394019,121.5690361,31.56768316,21.56769266,9.999990501,27.0719876,27.08151319,27.69425858,24.69103595,1697.177738,438.7827648,21.53141831,80.24386994,853.8456015,144.2369838,325.5655296,269.567325,L,4.3499839009077395,-0.71146031357889,0.8525114155251139,0.8589501311551653
Abilene,NORTH AMERICA,-99.76521739,32.43967391,138.0,138.0,140.7080279,1.933138558,518.907,0.708963918,95567.99997,106649.9999,11081.99997,0.113549901,0.291544967,5066.079709,18.07510644,13.76938871,38.71522492,805.1644738,35.16770343,-0.398210151,35.5659131,23.75645561,7.863500115,27.7314614,7.863500115,616.0217391,84.63768116,24.05072464,40.72085057,216.557971,84.10869565,186.173913,84.10869565,D,-0.8982083322822867,1.3003839712260084,0.768027210884354,0.7345604822232449
Abohar,ASIA,74.33190576,30.33160458,1250.599139,1250.599139,1246.845761,0.250217522,193.4359555,0.757659401,1080577.162,986071.1938,-94505.96855,0.587859934,0.01151947,1144.504703,24.4462549,14.12859807,39.80707259,766.9357478,41.05024728,5.557904383,35.49234278,30.85395348,19.38150475,32.74204652,14.17672211,356.9589968,100.1087293,2.72813031,120.4883549,270.1885504,17.36747306,127.5102954,26.3372111,K,0.9857947592828443,3.782906410871708,0.8420803782505921,0.8648754266107743
Abomey,AFRICA,1.891247567,6.871754027,1421.624684,1421.624684,1232.23475,0.014044155,65.03368045,0.695055578,631287.679,1206915.358,575627.6791,0.539822772,0.275037972,288.8857693,27.0714983,8.931463835,70.58920859,130.1690514,34.28943494,21.63588495,12.65354999,27.21527596,27.55881579,28.63146398,25.38554972,1006.298869,162.9243795,5.162259746,63.65049715,431.1796863,45.93425473,234.5224856,300.7296334,J,3.6081819888522833,1.3672450728286978,0.8453701380175664,0.7968398153692601
Abong Mbang,AFRICA,13.17083333,3.991666667,2.0,2.0,1.725291653,0.010377655,694.017,0.681136629,226.9999995,8967.999977,8740.999977,0.152484268,0.087539969,273.0,23.5896244,9.857250213,72.30963898,75.6412735,30.56399918,16.93199921,13.63199997,23.13666725,23.4841671,24.7001667,22.93183327,1593.0,293.0,22.0,62.78927231,656.0,90.0,306.0,468.0,J,3.2024582870148093,-0.5860220719835167,0.8324717691342542,0.7894848576243328
Abra Pampa,SOUTH AMERICA,-65.70138889,-22.71805556,6.0,6.0,5.597799985,0.039789106,3707.566,0.460811297,820.9999978,8110.999986,7289.999988,0.062558051,0.007962669,443.0,10.82904148,17.02775002,62.22682953,356.8828125,22.12199974,-5.242000103,27.36400032,14.25616646,6.091666222,14.32299995,5.917833328,221.0,58.0,0.0,114.6472778,156.0,1.0,125.0,2.0,E,-2.251101731353157,2.3226375526170067,0.7029032258064525,0.6783391433806963
Abu Dhabi,ASIA,54.40687075,24.44843537,122.0,123.0,116.2706766,10.74147294,18.492,0.757427807,398728.9997,747467.9994,348738.9998,0.000501477,3.38e-05,5619.975609,27.46945401,10.45514646,40.29534475,592.3348835,40.22324052,14.29898506,25.92425582,20.49032514,31.31245346,34.18799982,19.88043756,62.1300813,22.05691057,0.0,115.4865922,45.72357724,1.0,2.0,35.68292683,I,0.3841447356991474,2.9833012001087162,0.40036474164133706,0.38192593705823996
Abu Kamal,ASIA,40.91550179,34.50134409,93.0,93.0,97.10792902,0.139416993,292.187,0.616083848,47755.99992,123160.9997,75404.99979,0.384870163,0.191614727,223.376344,20.73781555,13.29599883,35.57846582,917.8523415,40.076354,2.706774186,37.36957927,10.93612731,30.98845615,31.47795999,9.09939972,134.5913979,26.0,0.0,80.42588322,64.86021505,0.0,1.0,59.98924731,D,-0.6430007952335312,3.4191180380331283,0.7541496598639458,0.732024191389562
Abuja,AFRICA,7.480218447,9.067354369,206.0,206.0,179.5161284,1.623463813,540.456766,0.786227283,174644.9999,889654.9999,715010.0,0.374220186,0.18292781,1643.723301,26.1571326,10.64816666,61.95238699,159.4342448,35.03263164,17.84487341,17.18775823,24.62261416,25.7026279,28.45091938,24.62261416,1372.883495,283.5291262,0.995145631,94.60978136,786.6990291,9.558252427,112.3009709,786.6990291,J,3.71640247737341,0.9602570740012512,0.8453701380175664,0.811935993124099
Acapulco,NORTH AMERICA,-99.84317708,16.88692708,160.0,160.0,143.8907836,1.438388974,59.814,0.848337068,568939.0001,710957.9998,142018.9998,0.161885451,0.176461779,7376.200002,26.90143578,9.166298121,76.60837541,80.1679544,32.64307649,20.65571318,11.98736331,27.42687122,26.42962644,27.78485543,25.79644492,1303.125,301.19375,1.95,115.6448562,822.25,9.80625,561.75625,23.56875,J,3.958078223701066,0.8025774345426292,0.8453701380175664,0.8163275214887772
Acarau,SOUTH AMERICA,-40.12291667,-2.877083333,4.0,4.0,3.446587283,0.639386248,3.412,0.634999565,8653.999971,19902.99994,11248.99997,0.156068559,0.148931028,457.0,27.64755821,10.52861977,81.09020233,62.34942627,34.37171555,21.38787842,12.98383713,27.03249168,27.92457962,28.39427567,26.99090958,1283.0,339.0,2.0,116.3760223,859.0,9.0,36.0,286.0,J,4.161898710434935,1.401078555119323,0.8453701380175664,0.811656530951314
Acarigua,SOUTH AMERICA,-69.21199187,9.569308943,82.0,82.0,71.5606142,2.226026932,617.451,0.676555824,258613.9999,279703.9999,21089.99997,0.111675112,0.198477517,378.4146341,26.77347807,10.20895222,78.36425893,62.57842003,33.72265751,20.69515889,13.02749862,25.99823417,27.2020242,27.59688426,25.99823417,1216.756098,213.8536585,14.56097561,68.80440223,561.8658536,50.69512196,104.8536585,561.8658536,J,3.4736954136324063,0.5794630376823426,0.8453701380175664,0.8102772631420246
Acatlan,NORTH AMERICA,-98.0547619,18.20595238,6.999999998,6.999999998,6.341202153,0.157454545,1433.058,0.636857321,13038.99997,12809.99996,-229.000005,0.13823412,0.511205017,1698.0,24.00933266,16.75566673,72.21958923,174.9554291,35.52999878,12.32899952,23.20100021,24.34933281,21.7998333,26.19983292,21.7998333,569.0,121.0,4.0,99.90883636,317.0,14.0,176.0,14.0,F,1.7821444923344063,3.396158399565378,0.8521077283372361,0.8441077283685001
Accra,AFRICA,-0.179774654,5.64505801,746.9999999,746.9999999,645.9649151,1.838232858,61.58809103,0.887400523,1934660.999,3779723.999,1845063.0,0.145376807,0.154617729,5224.945114,27.13476858,8.00445543,72.0166131,118.5456391,33.18622433,22.07192583,11.1142985,27.50420398,27.9028166,28.46408268,25.47225627,934.8313253,190.7670683,14.18607764,67.70726213,453.373494,73.7188755,213.9678715,173.291834,J,3.2368858364184554,0.7606235582296379,0.8453701380175664,0.7965143471135305
Achinsk,ASIA,90.47426471,56.26405229,102.0,102.0,158.0351077,2.305530717,241.241,0.676959843,128983.9999,99655.99988,-29328.00002,0.047324617,0.026760792,246.5098037,1.119743842,8.881157482,20.75773073,1241.834169,23.83500013,-18.94800044,42.78300005,16.50486955,-12.10251963,16.50486955,-14.10465853,437.8627451,74.03921569,11.0,55.93626262,200.0490196,40.67647059,200.0490196,52.93137255,A,-4.894540551103493,-0.54690650279,0.9997553017944533,0.9988737609270701
Acu,SOUTH AMERICA,-36.91428571,-5.575,7.000000001,7.000000001,6.052575205,1.123655513,112.686,0.713713247,59608.99987,31789.99998,-27818.99989,0.142389698,0.245277204,237.285714,27.58967836,9.336380959,78.2394213,93.80581229,33.7415717,21.80857032,11.93300138,28.12185723,27.66085706,28.54797636,26.23338018,694.7142857,178.8571429,2.285714287,105.7368328,439.8571429,11.14285714,173.7142857,75.42857142,J,3.254718647127921,1.953298355547153,0.3307026348808031,0.5279634022147021
Ad Dakhla,AFRICA,-15.94368687,23.70227273,15.99999998,16.99999998,15.97672232,1.867216489,130.388,0.726730788,16194.99997,129758.9998,113563.9998,0.0,0.0,314.0,20.41145897,6.985416889,57.85024261,170.3630371,26.32999992,14.25500011,12.07499981,22.09291649,19.96291733,22.63916779,18.4370842,50.0,16.0,0.0,109.1240158,23.0,2.0,22.0,20.0,G,0.2120254878028415,1.3834619710946072,0.7695774647887312,0.7305982656330559
Ad Damman,ASIA,50.10796205,26.39366749,404.0,404.0,388.1094487,11.94725721,6.67344555,0.794535141,1455553.999,1680319.999,224766.0,0.047718127,0.140430284,207.2747525,26.27089242,11.21380156,37.37144585,724.0283656,41.3424967,11.34314836,29.99934832,17.84569666,33.34005815,34.57072899,16.92876541,78.29455445,20.81435644,0.0,104.0239083,53.70544554,0.0,0.0,39.55445544,I,0.08774112699161275,3.3097198385749924,0.40036474164133706,0.39525852915699167
Ad Diwaniyah,ASIA,44.92207602,31.99327485,57.0,57.0,57.83393692,2.852734596,63.51837722,0.685348922,299764.9997,322439.9996,22674.9999,0.32045119,0.080909207,1632.122807,23.77161849,14.7984445,38.12767424,916.6595984,43.69752663,4.884631651,38.81289532,12.05205258,34.43328951,34.43328951,12.05205258,109.368421,21.7368421,0.0,84.92183163,57.98245614,0.0,0.0,57.98245614,D,-0.2931769324919995,3.792729164972548,0.7541496598639458,0.7235739034938077
Ad Nabk,ASIA,36.72777778,34.03253968,21.0,21.0,21.80570677,0.240447387,899.087,0.635383477,49569.99994,53972.99994,4403.000001,0.03696473,0.512536277,467.6190478,13.20703025,13.98018637,42.35128257,736.5810169,31.46614293,-1.543904798,33.01004791,4.16228585,21.91831026,21.91831026,4.16228585,200.5714286,38.61904762,0.0,77.35641262,100.952381,0.0,0.0,100.952381,D,-1.964936834868655,2.379359240208777,0.768027210884354,0.7410918573544267
Adana,ASIA,35.32170068,37.0064966,245.0,245.0,264.0041884,3.755490863,478.0393684,0.815131607,1284928.0,1414457.999,129529.9996,0.118464295,0.026002768,9197.346938,18.74636022,11.16834752,38.77365066,695.1595329,33.30312305,4.49833475,28.80478804,10.65344089,27.09861219,27.09861219,10.18972119,703.8163265,130.6653061,7.587755101,68.5189829,333.2040816,32.69795918,32.69795918,333.2040816,I,-0.4488224663039676,0.8524754097924596,0.6489057750759885,0.649714388359476
Adapazari,ASIA,30.38877246,40.7500499,167.0,167.0,189.692401,1.847261565,537.179,0.820242792,440959.9998,373739.9998,-67219.99998,0.218621183,0.008392289,7408.23952,14.21529519,9.373937138,36.59427515,631.968534,28.1476944,2.532053873,25.61564075,8.125246636,21.33745802,22.03674847,6.663253447,783.3413173,106.8443114,43.2754491,30.25118827,275.2754491,136.742515,139.7724551,263.0658683,C,-1.093999355501391,-1.1042781790586886,0.8168843283582088,0.8030007886928887
Addis Ababa,AFRICA,39.02709078,8.713908744,1399.0,1399.0,1217.979509,0.164385671,2027.389828,0.683614041,3072146.999,6494035.997,3421888.998,0.470666469,0.138281102,2538.095067,17.36069669,14.20510716,76.85602325,105.3174066,26.31159474,7.839750612,18.4718443,16.9179132,16.23510129,18.76856855,16.2274729,935.6325947,219.2380272,5.293781272,92.10869082,550.0192995,30.80057184,206.6383131,56.29807008,F,1.3489878676040539,1.8376674285521144,0.8521077283372361,0.8233618779496735
Adelaide,AUSTRALIA,138.5913879,-34.90700124,936.9999996,945.9999998,992.7470957,1.66743508,113.6496744,0.849365352,1026809.0,1194513.999,167704.9998,0.026404392,0.011314387,8831.21776,16.18214353,10.12553762,47.12337127,408.1460522,28.25140178,6.778137796,21.47326395,11.18542862,21.09972431,21.20414135,11.18542862,578.4217758,81.66279068,17.98731501,45.18061012,228.5930232,68.09830866,69.36575052,228.5930232,I,-0.737370429037858,-0.22527442247978777,0.6489057750759885,0.6683702096689285
Aden,ASIA,45.0171875,12.8015625,37.99999998,41.99999999,37.06405994,2.0535548,11.81984525,0.689121803,192666.9998,137953.9998,-54712.99996,0.000822829,0.238307066,509.4047619,28.59758304,7.35066583,48.05303828,274.7402155,36.35498301,21.06498364,15.28999937,25.57804553,31.5210025,31.82132117,25.27289173,52.92857143,7.928571429,1.69047619,38.22364644,17.85714286,8.380952381,9.380952381,13.85714286,J,1.4704465855886137,2.1348028988433114,0.3307026348808031,0.2997796760423246
Adi Ugri,AFRICA,38.81489171,14.87416568,302.9569378,302.9569378,269.7464944,0.002316384,1558.551322,0.344851746,91324.12965,281259.0992,189934.9695,0.348895194,0.480005129,115.6898355,20.21560243,14.57555288,71.82493489,166.4093167,30.65926429,10.36751052,20.29175362,20.70142677,18.40252251,22.48517872,18.2195049,627.8926056,196.2779778,2.10906851,127.1535698,440.6797909,13.77654063,138.0335765,23.58825294,F,1.6112088424723807,2.909079327207246,0.8521077283372361,0.8536217992062077
Adigrat,AFRICA,39.47854167,14.26166667,40.00000001,40.00000001,35.51625468,0.026444438,1733.47,0.503472073,27333.99992,140200.9998,112866.9999,0.38253235,0.283041472,240.9999999,15.35040855,14.90761681,72.10943909,164.8786102,25.18019981,4.506600094,20.67359962,16.37653351,13.83706665,17.38123283,13.22866688,570.6,167.0,4.8,112.0039566,357.0,25.0,139.2,28.6,F,0.284896724941041,2.0125008064173144,0.871405152224824,0.8594571130195705
Adiyaman,ASIA,38.26777778,37.7604321,135.0,135.0,146.9415417,0.703708777,699.121,0.791798584,171534.9999,187262.0,15727.00001,0.31284831,0.124640387,3428.725925,16.67583092,11.53934027,31.35816762,936.8426744,37.08640659,0.293681494,36.7927254,5.340960524,28.13878437,28.21744566,5.340960524,610.962963,118.5555556,1.0,78.23977712,301.6222222,8.0,12.64444444,301.6222222,D,-0.9373501753766432,1.8733416873710167,0.768027210884354,0.7349426286596334
Ado Ekiti,AFRICA,5.114623884,7.711366021,1804.388462,1804.388462,1566.947233,0.026573987,355.5956689,0.58788666,1367186.292,2557547.876,1190361.584,0.422837004,0.354562486,82.14537584,24.67585342,9.289629896,67.61896829,126.0613286,32.08149206,18.33735067,13.74414139,23.27149376,24.98254775,26.38497332,23.15209632,1355.085375,243.5005358,7.933509332,69.03828923,562.4373394,47.8447247,231.726221,559.7507572,J,3.500534464711659,0.6504033709599648,0.8453701380175664,0.8109719398804118
Adrar,AFRICA,-0.29375,27.87060185,36.0,36.0,35.04376427,1.235933785,231.035,0.59020239,64731.99993,74146.99993,9414.999998,0.0,0.0,165.3333333,25.11704763,15.7757357,39.27748744,894.7846883,45.41366514,5.24966685,40.16399701,25.54449972,33.41947142,36.13111083,14.10479156,12.91666667,3.0,0.0,48.18495846,7.0,0.0,1.0,3.0,D,-0.17864949424950433,3.87752857544281,0.7541496598639458,0.7349472346075563
Afyon,ASIA,30.5594246,38.76170635,84.00000001,84.00000001,92.69896301,0.967463345,1237.62,0.769616172,164274.9999,117021.9999,-47252.99999,0.269426564,0.098155822,4933.190477,10.83627001,11.85173213,36.10285446,788.0375824,29.10491671,-3.721749998,32.8266671,1.103454401,20.06269671,20.45267834,1.103454401,495.5119048,67.25,12.0,41.58320795,172.4047619,45.79761905,68.30952381,172.4047619,D,-2.427318960299815,0.5857687822603664,0.33666666666666667,0.4148950256488382
Agadez,AFRICA,7.985470085,16.98760684,39.0,39.0,35.0921431,0.116807474,508.3094948,0.404508149,427.9999999,230670.9999,230242.9999,0.0,0.0,320.3333336,28.44383611,14.59677148,49.91383078,503.9012647,41.63612757,12.39243534,29.24369225,31.50475659,25.31777323,33.53484198,21.37999544,114.3589744,48.51282051,0.0,156.3003501,97.92307692,0.0,53.02564103,0.0,K,1.3729932906049696,4.3702821981708935,0.8420803782505921,0.8409759366855966
Agadir,AFRICA,-9.554393939,30.3970202,164.9999999,165.0,164.6138118,2.926824837,376.438,0.782090496,548921.9999,874045.9997,325123.9998,0.095387969,0.123439717,195.6787879,18.81865572,9.784630289,50.46684577,322.1594392,27.59936516,8.218123032,19.38124229,14.66671091,22.30406741,22.81988663,14.66671091,208.4909091,49.41818182,0.042424243,89.80658662,119.4666667,3.151515151,4.139393939,119.4666667,E,-0.345669539901971,1.5382341470354255,0.7067281105990793,0.6839564177269991
Agana,MICRONESIA,144.7880952,13.48833333,69.99999996,69.99999996,61.94663352,1.402852558,4.523,0.6912654,92488.99987,70947.99984,-21541.00003,0.0,0.0,329.8428571,26.79085129,5.75545952,76.20928628,57.26162409,30.50123005,22.94896428,7.552265767,27.0008106,26.35682237,27.37515346,25.9675793,2217.171429,350.5285714,74.77142857,52.97929219,969.5,246.6428571,527.3571429,278.5714286,M,4.675237287821023,-3.057356623364752,0.986947040498442,0.9912872475292618
Agartala,ASIA,91.18710931,24.0508473,5002.963516,5002.963516,4714.530615,0.139969846,31.32366522,0.761319019,4560517.808,7528845.515,2968327.707,0.548650199,0.027143521,1217.992468,25.07351839,9.968513893,45.10134788,383.6449278,32.79437217,10.70041436,22.09395777,28.11484227,19.25985385,28.15019272,19.25985385,2220.815315,458.0893785,5.224025771,86.49243405,1176.486484,32.86531102,1159.063702,32.86531102,L,4.235178274208575,-0.10542232894374776,0.9096347031963474,0.8892620310833567
Agboville,AFRICA,-4.21127451,5.93872549,34.0,34.0,29.4166131,0.200703449,43.036,0.726247476,18772.99993,58716.99988,39943.99996,0.503848282,0.261800469,445.2941176,26.90648808,7.65924033,69.94570833,112.5775452,32.70158835,21.75200036,10.94958799,27.46122607,27.4177356,28.19172534,25.34503006,1335.235294,247.4705882,12.17647059,60.84212112,582.8823529,94.05882353,313.1764706,286.8235294,J,3.9925025965888543,0.30227972295019,0.8453701380175664,0.80257059546649
